puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate
xhH1upTjZyVT9ahEMGzKZXw9ikZ479Uy_UNdK2SB5LuGIa_PcZPFkb-XQuvAjGCqH9ZmN253b1G62g,1187,170,105,False,False,True,False,Challenger,7yD#DDDD,275,61.82
X9kmN_xYGVgdLYl2JxP_Bh1abnGATdudqSmRemM6W9YecpndB1RqfRFmsT43ovf43qomuhQuXXI6DQ,1182,286,205,False,False,True,False,Challenger,ipw#uuuu,491,58.25
zPFCC1h0W9DaLG_esDcxUrmAdnL1GDrLyxyTxYKJvPiUv6wpQVxLi1SfR-jorgLRyQaF6YGoO_GlNg,1181,214,126,False,False,False,False,Challenger,grog#123,340,62.94
szibDJPPma654Cl20bTksQ7CtLJrcBQRJJvLh0QiVbBYGvRbdr7Hzk4gb3PyqSu7IyikCvQThYk6yw,1180,306,223,False,False,True,False,Challenger,Jizun#6848,529,57.84
pS00u9CV4tk8k02Ze3k2uaiEKo1KzPTATfcoSEXADJlO8laQcUQMFMcj50RjrVUCtsn0G8D3y6IliQ,1177,176,107,False,False,True,True,Challenger,AMQ paradice#428,283,62.19
fnlKrwOnalwfwCG0pD6_9MbvapzwekE2B11s1ExP8X9M0ADNCJcrjV-lIcoxCnwNi7w__Ub3FNQbyQ,1152,251,179,False,False,True,False,Challenger,teeoftea#SG2,430,58.37
8HJs5svT6YvA3-6a67qcGczdXpgvklMU3TiI8aftTsV_mIO2z_Uw9LNvI9JSaTidx--_s1KbFkO34g,1149,141,90,False,False,True,True,Challenger,FindOut#SG2,231,61.04
RQfttUFwRgREnBPdhcxTtN6UBqxnji6iTnz80T3R1ZmiRyV2Caig7fqnsyLDf_-pi_HOsf6LEEIdig,1133,267,192,False,False,True,False,Challenger,FS Foeman#bundd,459,58.17
nsJ9ahyPtNa07DKrAhWSl5QeVi7WEOTDfjQ-fZM7NM93Wr-CYhOyedcO8jmC1UGQrUvWu1Bf8B2YoA,1096,307,204,False,False,True,False,Challenger,N4IKZY#7452,511,60.08
PlPP_YTQcadZg0HncxOL7aK03qYR8Y0cpB9L2w9SlhB5UrdVuiBF54UKfXj7CCKM_zNp3A_2UgAekg,1071,413,317,True,False,False,False,Challenger,MelAmz#1234,730,56.58
vztPRJLNtzgGy2keaRHWbNPXc13KslG_aQcl2MkPXuyhU3LMlqshZ2h_VLLDPq3h22ct71oEBmuD1Q,1011,220,149,False,False,True,False,Challenger,Sinister#bgt,369,59.62
0igqo3RN7dcbnYucXvIGWe1v20cCy7UbIwwa2WXPgO-xbfeFhml2FNy4AAlT_BsriDA3ClycNFh-aw,975,258,189,False,False,True,False,Challenger,OBE Twift#009,447,57.72
UP1iBlQkS0ZwMsuBpIvLU7tLfSU9VeQF-_PyLeYWc7eihIYLZxfAgpVWVTF2G9zJISH57Uf_wSH4vQ,1183,203,161,False,False,False,True,Grandmaster,Jesuslovesme#Susej,364,55.77
MQDFJazMxolRxLPj2G21TB_A5Ji5Sa421HaZ0rWlS4SZWMuvgTwTUPB23mpcMY1_CK_BmtFkcfL76w,1178,283,188,False,False,True,True,Grandmaster,Stryggar#004,471,60.08
vQYjv6cYFyPfCPDjVrhdjs50sS5WzxHwsT-y1amfhS4jZdDKCjmbNCDCZcjEsa-b6NZ6mOZJrCH97Q,1162,254,169,False,False,True,True,Grandmaster,C24#4701,423,60.05
l-ho8JzLQlcy9zWT78SyPwHjXK0jKp0bsW31BI1WMeSiLeEwo1i_C_gC6zK5U5BzbT8YqmzZmbLR5A,1153,226,158,False,False,False,False,Grandmaster,Disco#tft,384,58.85
Jf27umubZ3XbJQem7U7kirsfONaMgxwRvqVKAjXZcF8wtJLY-fGHrSJc1aLkL8_QuN9wjaU0EhlQKw,1152,405,339,True,False,False,True,Grandmaster,Kurroneko#kuro,744,54.44
4dsxiquCFZpulul_o0vzGWRcOjAYyVX1V5GXCxpJ3jhuwOTzKJdCres4wF9n6dWUdnqeNNk5SUjWDg,1151,291,213,False,False,True,True,Grandmaster,Xun勲#ADO,504,57.74
j5USmCMGJffIzaGlfGcZ0m2hhl_BpfD5DWjsqr7XpZyGV15ce3X1CjQRVPNxP9HbSt8fPEOB9bCT3A,1148,245,179,False,False,True,False,Grandmaster,caipng#8620,424,57.78
KBnRpeKWNTv9m4tZa5HjQglVPeKK5MjiCjGIqsJZON8tF1GSZa0Gz5krLQ-1HS4-FKeLukcxIQsT-g,1130,181,119,False,False,True,False,Grandmaster,เธอชอบเราไหมนะ#SEA,300,60.33
YO4XbtrAuEq9thkx5uNCfG2hAfQ-HOeBPqbGkHHWskfRTbhOrGAPz7mQnrxnhccABwrzVPZ1VJQwXw,1115,237,183,False,False,False,True,Grandmaster,Swindlol#8744,420,56.43
TtKyVilHApZ-3ZK8oNvqd3n-YwOmdBvE3xHg4dWUs0HZZW0PCnY1ZoYKAuWP4I_vTgs7hEhkj1wurg,1111,290,240,False,False,True,True,Grandmaster,Aya#6292,530,54.72
dPxpmdIFBYhhVWjd1s0PYki7ejXY-WXDGwv4G1l766oFKVNhqIRXXGux-tJqCDfF7gsE5GFV3yyfig,1108,223,143,False,False,True,True,Grandmaster,Maalox#maa,366,60.93
zJjl5ZjiW17-HU47VmIkm8TkgnZqtLUq_A3PJxvYTqGDUUgGbDcYgou4xhFEhMiRQpZrQoEJW1mopA,1108,153,96,True,False,False,True,Grandmaster,YJlnwZa#007,249,61.45
0_A7J1nh8nNbmPfRhIahTipM8t6BpIUHj22ZKLSMg0v7cQYaKPxNrg9jCgWufIeuCOKXSStnl7JI4A,1089,248,182,True,False,False,True,Grandmaster,Curry#16145,430,57.67
d5ZkU-OdCiipoLaX_FUJQjARsxKAqd0TTY6U7w7YEpSBOxwPT39W3FKoKA9ciZj4McARZzpNEMZG-w,1081,210,134,False,False,False,False,Grandmaster,Daxiatitan#LvUp,344,61.05
O5tmLtzvTPsMkXRpTtE9EPBZXxuFiv0-LRJZN5I-uuYO5B5KRumzc-aAyYHWUYsCpO5Z9ne7RWAIUA,1078,139,93,False,False,False,True,Grandmaster,SheeepStick#3214,232,59.91
gN3Ym7f-50xhoJ_12ZAtuGS9eHzJToJPhkr0g2U6ZqOhO-9Wm7XG2jufQHEo5Ulwfj6m9Bjf8uPFjA,1063,335,251,False,False,True,True,Grandmaster,Tipfy#TIF,586,57.17
geVqw-WwR3F-1Ke5XLLEdcs3JSAYwarwnkn9CilK3grOXMYNl-Th_rpaksKlz-VBH9r8qn8IXJZ4Jg,1060,168,85,False,False,True,True,Grandmaster,josepao1o#1023,253,66.4
S6clehuZlzktAhjup2MHHSDg32LzoOkUoTwAM5s4rIChf7BTPNIYD0rWMWpOyfQ9w3AVJYLtpLc0tw,1054,260,199,False,False,True,True,Grandmaster,wabisabi#0929,459,56.64
wqNUFaBMtQmVWLZxDl--06QwUXRQM94VBSqHqSS363h--CoZOVHwSKVGX1GQbhEvLBIqyRpeEwWuZQ,1054,172,117,False,False,False,True,Grandmaster,Carousel Griefer#weave,289,59.52
xtmkvmlgjN7YWdCV_V3fNn7pO3ESOPPcAt8dCjwK96y2viN5x4v8RlDSY8EWCLedHDgYy70oC0_2SQ,1052,288,214,False,False,False,False,Grandmaster,shush#2654,502,57.37
Ni368aR-iyD96lIfeYQrzlH7IzhiXtthGpeMpluc5pezePZpEmwUC7i1I2UnZ55Vtv9sPQUrS44P5w,1039,436,373,False,False,True,True,Grandmaster,TTVBubu1150#qquer,809,53.89
qztgWwktLwKKKmueaqAqdXA0Cg0XuZn2wReRmSmA-qnAMMecKDdocTepFQiTDpsM7RYVBmI6O4Yryg,1032,310,175,False,False,True,True,Grandmaster,Big Timmy#Fatty,485,63.92
jy-Ojr1LbCNwp_uKX5MHtqt7udjC0R9JpQSRGrDu1XFbFZtjBLmk-N9stTJylawtQizdRGYdNRD6aA,1015,276,229,True,False,False,False,Grandmaster,Choi Kang Rok#bbtea,505,54.65
wIlHjKclSRHqXoCU0JthmfP5_sf-Wj0G-gE_m0gYNne2tBEiV019FAu95zsY_Qsi2xuCOcktSe02fQ,1012,114,63,False,False,True,True,Grandmaster,Atidtech#8761,177,64.41
SuwjXZs00qIPNQUO_oNqSR1l4N_9mGBNemI_QYN-UDGBQtcbypazz_6POJq3enZKEJALGByMzi8t1A,1007,244,177,False,False,True,False,Grandmaster,teennn#TH22,421,57.96
Co42dWPtiWsQdppEYpCn4MgfA1F0os4g0L8AoxJa4LLj20ZwGpKF_G39xnvqGwLQKza_87Xn4UPrIw,1005,296,219,False,False,True,False,Grandmaster,Fourz#ff4,515,57.48
0VBqhjoQJDOhUsuUL95_Hv8szDcH77kuBsrWsLskTmk_WGuiGfd0f_2zGq5Y2SkUWPP0tKZkCgz7nQ,992,419,315,False,False,True,False,Grandmaster,ffstars#8787,734,57.08
5em7MAQIxP7OxpqK-cYF-tDgDCUeMH0ZyAh8XQQ0yzWA7PprXxpgsSPDcIMaGtRII76wA7-QqGl8EA,991,83,17,False,False,True,False,Grandmaster,house cat#BM1,100,83.0
JL8AoiuRMkfA_yObaRi9o9cD2yNLot2fLCJ_EtDmBHPCHNzEQIGwIw_x8c_g165UYaUg1bln7WxARw,989,288,260,False,False,True,False,Grandmaster,Berlin#sryze,548,52.55
YxXpLxMTUvi7EwPV1R8w9bI4V36QFVixnoL32ysvG4BlhD4noEVp6eWNu3V9A5DwyhzdFpwPFTUSgg,984,239,165,False,False,False,True,Grandmaster,uni#owo,404,59.16
U51azwQ2TP7qamHpqL46Wy6mbhOnesM0BvoJD-gSB5PM3ctLxllFY0RpUF8QXYaQcewiYdjgROZlFw,982,289,212,False,False,False,False,Grandmaster,peter pan ties#2806,501,57.68
o8gIWNjRDKAkA3O-HgfxY0NnLQUQIyWbm8ocRLnXJckjIxh8cgIUW8AkZ0M82erZObDcGUYOwbk44A,977,171,111,False,False,True,False,Grandmaster,Seahiter#G3m,282,60.64
znLVFKfP9PEmkPdB1naWDuSsWzUt6u9mDRLULYxofLWLTu_MU5Jgb26KgJrz6HSAVcXdE4psm14jFg,974,255,209,False,False,True,False,Grandmaster,ziqidonglai#babao,464,54.96
SIDHJI1ibTAmzqdzOCH8InAwwQXw4ArKGx_dEpAXKZjLJfMsCsoVRQJnW4zsc7DPMTs7A7KaChSt6g,970,374,310,False,False,True,False,Grandmaster,freezingfiref#SG2,684,54.68
U1z_otwFF6hY9groeWFzngTNzUY95-ZyfnsrufQEiZwqyWM3heHhrP1l0hQwhRWWBcsc-DRo2WJerA,966,236,179,False,False,False,False,Grandmaster,KINGKONG#peyz,415,56.87
RfND5IuitTCU_fxw8XiUJX8x5GwRoapOR-T3xVap9jywDsILdE6cj7gub9UClymbDmy5Y54DopqI9w,961,156,88,False,False,False,False,Grandmaster,19Cent#cent,244,63.93
9Laz3UqMPwWxQQ4YJENspSRKUiIIj5nhkcbPCN6bbRBoHcEN-Dh8zWnZLogoNl0tqgOyg_7ZJGETNA,961,141,83,False,False,True,True,Grandmaster,Rexomyne#WTM,224,62.95
fnV-fbkU_C6Ng9bYj-vWB3rjAyZzW1_PbeLVPQwYrYXGDUspNX8oe1wHG5LSMPm3l_A1AA-R5ozVqg,956,190,124,False,False,False,False,Grandmaster,mode#tft,314,60.51
yiqdukSWSOo9apM1lMpXEdw5-WaASIQLBhUL416kKSvFnwK9rKY1N-V_nHGYWWho9J0ekhaLVn5mzg,955,335,297,False,False,False,False,Grandmaster,ทนายPong#1244,632,53.01
GXYD88cSyqsLTPMxExNlp1PiJiwzyC4BV21c4-gCd_ARz2xtza7GmOxN-tt2H47ChXV97_sqwMCLXA,950,225,175,False,False,True,True,Grandmaster,lyckajonrai#didpa,400,56.25
s9qxWuPtOWxV8VYXO2Cb0dW2TrRVuI4JsbS1C329rLWRKN6mINBA6lVWU7ffhUIMZxQxp1k9uiFdHg,947,249,143,False,False,True,False,Grandmaster,GNYT PUNPUN#PUMP,392,63.52
NKTGydFoZQJEiyfBBsilMfYh12vGPR31d1LAJ3pAkhmLIi4e17pYO_dnGKqtqfuxzG0PCeZjLSA7Pw,946,203,142,False,False,False,False,Grandmaster,hhotboxedd#420,345,58.84
tEq0IaCE7k70ymiPyFz5pLGZUGCOgJMu547iucAbsIETx4JFGHcHBltszJ1CGJwFjrz1Iq8mrGjZXA,944,129,75,False,False,True,False,Grandmaster,minjeong#SG2,204,63.24
3FO3asvqUxM6mXyl7uxSZAJmF7_7FTVJRPiPf6Sr1eWjaRXTbWFnvbNF27Tbthf3hE0FCs_1zSW8jw,943,300,240,False,False,True,False,Grandmaster,Vincent#nil,540,55.56
7VLQYTZFk6WFVjxNEFKqflEbDQcptyAZu6bl8GXsyMltyZKQRmrairiAjVWAKBbp1ujBoCvjhHnJig,942,316,243,False,False,False,False,Grandmaster,QuazE#IWNL,559,56.53
NMsjYGHmb2OSLWN6lZHMVyJrTKfkpH3dpx4KotZvdqOLGv0mbAwNdGRpnBwdxSRJbmvOlRXkSxh8Gg,940,300,241,False,False,True,False,Grandmaster,WDA Sharkz#SG01,541,55.45
R94wYse6Q1QG65jo_ZTHh5cLGUZ0tBiHdzyKhWMnjcDo4djqzupSO4jb0yrc6jmwsfKcq7REe_ot5g,938,190,132,False,False,True,False,Grandmaster,LLaLaLong#LaLG,322,59.01
JnT2nzrAuHAzeOe7lj4p8A7zuhvTtD9s55_C52FLOdMA5fVZAvjjaGgMbvtgLUjKTeqip5Z3u5ZzYA,934,211,146,False,False,False,True,Grandmaster,RizuDiff#SG2,357,59.1
9ZmRqhN3aTn8S6mFLeIF7rqaxsEFMmPY3BzKqRWmWK7WA5225Q6WTX5U0wtuneUKSVXU2eIhYiwxDg,931,326,276,False,False,True,True,Grandmaster,KheeChain#Crong,602,54.15
axEsIv52kvfqXqgQPrLbO1k0YZUhu1Pk0h_CCdgz6xFKTrxjMUVusNAEc9uAVXGV1yDU7KPiW_zDdA,930,319,231,True,False,False,False,Grandmaster,undeliche#nuunn,550,58.0
9lfX3_dA_RrqjCk41yn9Aox857Oco6-bUHjFpM4LfzM0yXT0vUNx9fS1Z90r8eXzwfgGzphgYT-Ehw,923,244,201,False,False,True,False,Grandmaster,Cytical#ezra,445,54.83
k_e37yJjligbEiCy5TstT-X3gJa-YiKYy9TY1hDUyz4-HLLMie-ywPjhJueqbFb1ICfvMtrr-a3KJg,919,254,234,False,False,True,False,Grandmaster,Fiolette#0432,488,52.05
x9bEVwp_j61mosQWwDftSI2hjCBxopLsniSb_l-M-vJyNKRQnmi2u_lZmuKZ7n1INfzIv7DWop0G8Q,915,136,91,False,False,True,False,Grandmaster,minari baby#SG2,227,59.91
r9B_s5QGe_ql-rt7wC5crh5fg7GuOE_htpYM7kBI1avQp_M7TZKWb1bQ_DeACsrW-1oJNlhDR4HcrA,914,211,173,False,False,True,False,Grandmaster,nicolay#aaa,384,54.95
iXf-QrSOGNFqZf-X0czNnSD-IyQ0QkG_ciKKKhZYGFHrePuL2KeBxjpMtAfbgTlcHVdjUaaKG1j3Hw,899,184,136,False,False,False,False,Grandmaster,Mujin#minju,320,57.5
IbbljmFJ2ZaZMSgKpFMSbmDUyFqZ0T7Znii_PPWh5vX7mhvqvBR3Q7EpEWQkCBCY7KDvvSwcPRchhQ,892,304,270,False,False,True,False,Grandmaster,DawnstarFuwa#36807,574,52.96
tpaSKYAbEC1GRbhHcuqPqViRezX9P_CKHLaU-qEBh-Hez174mymu0VgoHjio3Dz8b6S76l30To1DlA,890,477,359,False,False,True,False,Grandmaster,Maxccv#2003,836,57.06
x2uq8Ue-lXmTAlGB3qZHU_DefUfV5eU-QEgNwJ_VetHvAUYnNj8DreSGL8Ws_31AAE--dR1hLN1vWA,885,267,194,True,False,False,True,Grandmaster,Enictuz#ENZ,461,57.92
kyVheQ-Vi_OBOUbiHoBsh49ICs_kiOkzZbA2WG8i88X3XlSBAMrKNRmW-AmHfR1RE0lPcbvWsZzepQ,883,333,248,False,False,True,True,Grandmaster,1ayf#idk,581,57.31
D8CDK8o2n7hUUUtk7qjMYaz8pi1nPinjpoRqhSP2wmGDa-6301FvfDQhMo86UUkV357LM4S77alc6w,879,515,444,True,False,False,True,Grandmaster,Jimbro Beast#333,959,53.7
olFLq7E0z7dpq_4ZIUuk-ku4Mu1gNV2kOX4LX9Ut1oGg8lrP06lLDKb8RoNbYLLLWOk0yNRx9drYjg,878,270,222,False,False,False,False,Grandmaster,hoodis#2202,492,54.88
cwF414h3TvtaEkHtiJyHdgxLqxwKVHn8VuTShCEZx5LDlrC8PNTd9XRKUzZpCd3p4QS6W80pmzdYJQ,863,269,197,False,False,True,False,Grandmaster,PunNyไง#lnwza,466,57.73
VZWxgNDrvUMsLO1seopyATB60AO7I-uAmr6u7-61IjB5b2Cvfi_-fuvuwu4gVGg1y3FNG-IdGkz6PA,859,293,245,False,False,True,False,Grandmaster,Monkeytoohot#toad,538,54.46
xMqqlqWQqLoCtIflyGbsC-AcwdA0EKhqbNH2ZDoozgLEsE5zIznHQz9rM42d-ugZNMIzTxJQ116gzQ,858,323,289,False,False,True,True,Grandmaster,Zenocruz#SG2,612,52.78
cMhhORMnDMCsKTpRXFeuOI45Sgx81quausB30dDP7MEl3aiUq7JKiEiF2PlPqu_AuLA_yhumMrtuKQ,858,285,236,False,False,True,False,Grandmaster,BALANCEZZ#117,521,54.7
s0lsGTdPykBdOZSnVKNGfLT3oJZIZ2vLc7SsICiXQeEDjT3OznyBLFLEylwH_f7a6TCf3qBZz9jLhg,855,251,208,False,False,True,False,Grandmaster,hasu#hasuu,459,54.68
ENYh-LncUTyf0FKKO-XJzRvY6aVCsP9skIU8a7Rmh9ZJBEoshoWH2BkA50agzXn88-cg16ulMl4YAA,851,193,157,False,False,True,True,Grandmaster,Oh Haewon#narb,350,55.14
sBf6DzRQdycBP6-6FUDfzhklXmy-en3OGsxLjQBrGLIbJHzoiPH7zyuD8ZPubIsvMQ8nGY4sc6tNjg,849,184,138,True,False,False,False,Grandmaster,ice lemon tea#0801,322,57.14
ugbPRN8PwymUonm-0BkL-uSE-udI53oJHeVoJ_CD9h_QPD1CreLOnwLFoVldVKDIzZq3bYyHT_ySOg,839,335,294,False,False,True,False,Grandmaster,Getta#alone,629,53.26
rAVfTU7pH1dPQ3hzcZnodv4vDeoh2kWs5UOc695Ukeaq_3JYovcl7ncWK-FcYQt37EHbZBx_Gvo5Yg,839,198,144,False,False,True,False,Grandmaster,bnn#0086,342,57.89
B274Jea7oXuEHy1zw539zOrpwKS6DCBO79WugGBKHr3UUW6soF8f35_8oMdlo5qtuN7cKgdvi4VQJQ,837,259,213,False,False,True,False,Grandmaster,Zsm#88123,472,54.87
j7lvPjEY6_WahcMkXkAhQgNhnueGkpAP4Lw6tYc-BQg9z-XfyAvZDnkuk4Xl-gLBBl7JEs2kZmNo8A,832,250,199,False,False,False,False,Grandmaster,ZaahenEnjoyer#simp,449,55.68
BJYbdzUsed1TtU8-mBncsw4ycGyJXhQIFmGtvCetgaNOtJmG2wHgEdeGyOuUkjdpIoBy9aAQTAGoMg,828,154,117,False,False,False,True,Grandmaster,Icd#Icedd,271,56.83
