puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate,updated_at
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1794,I,324,137,True,False,False,False,Challenger,ARaye#Rawyr,461,70.28,2026-02-12 01:17:46.642683+07:00
vQYjv6cYFyPfCPDjVrhdjs50sS5WzxHwsT-y1amfhS4jZdDKCjmbNCDCZcjEsa-b6NZ6mOZJrCH97Q,1747,I,379,215,True,False,False,True,Challenger,C24#4701,594,63.8,2026-02-12 01:17:46.642683+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1669,I,346,140,True,False,False,True,Challenger,Eggy#6142,486,71.19,2026-02-12 01:17:46.642683+07:00
axEsIv52kvfqXqgQPrLbO1k0YZUhu1Pk0h_CCdgz6xFKTrxjMUVusNAEc9uAVXGV1yDU7KPiW_zDdA,1570,I,432,300,False,False,True,True,Challenger,undeliche#nuunn,732,59.02,2026-02-12 01:17:46.642683+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1547,I,396,217,True,False,False,False,Challenger,Enif#SEA,613,64.6,2026-02-12 01:17:46.642683+07:00
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1515,I,350,198,True,False,False,False,Challenger,Pai#phpai,548,63.87,2026-02-12 01:17:46.642683+07:00
aIbr6wA-uIC7TKTyrCoNXQdklatJOy7JZcPlKhye6CsInFb_a3IdKDMdmNxCeQ_xFpJqpHiMl4rKXQ,1505,I,281,141,True,False,False,False,Challenger,Fer#41fer,422,66.59,2026-02-12 01:17:46.642683+07:00
YxXpLxMTUvi7EwPV1R8w9bI4V36QFVixnoL32ysvG4BlhD4noEVp6eWNu3V9A5DwyhzdFpwPFTUSgg,1505,I,277,178,False,False,False,False,Challenger,uni#owo,455,60.88,2026-02-12 01:17:46.642683+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1483,I,524,266,True,False,False,False,Challenger,Nanande#nana,790,66.33,2026-02-12 01:17:46.642683+07:00
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1469,I,488,233,True,False,False,False,Challenger,mald#tft,721,67.68,2026-02-12 01:17:46.642683+07:00
nqTelHUs-BmzKaPto4FW0CrrFmVAjNUzZOEPAyr561xUCV-uhLUaMiew-_GDgHl92n1SZnz3_RenNA,1466,I,304,196,False,False,False,True,Challenger,mashimomo#971,500,60.8,2026-02-12 01:17:46.642683+07:00
RQfttUFwRgREnBPdhcxTtN6UBqxnji6iTnz80T3R1ZmiRyV2Caig7fqnsyLDf_-pi_HOsf6LEEIdig,1414,I,373,253,False,False,False,True,Challenger,FS Foeman#bundd,626,59.58,2026-02-12 01:17:46.642683+07:00
CP54-BWyY7PIEdzJTthPN3TeU3qYTazeIf29Cc84Ii8KAhk2J0q5Y86wrG3cOhquG2neAIljkMSc8A,1410,I,278,184,True,False,False,False,Challenger,jerryK#idk,462,60.17,2026-02-12 01:17:46.642683+07:00
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1367,I,278,131,True,False,False,False,Challenger,masianiverson#xdd,409,67.97,2026-02-12 01:17:46.642683+07:00
8xtcab4066AaNOKbYo34yywmm-vLFhaDsgPtriU_AZsdOeOn2JdC1zPOcZxHieNuaVk9DEqat4iReQ,1351,I,358,259,False,False,True,True,Challenger,FuuTime#xdd,617,58.02,2026-02-12 01:17:46.642683+07:00
WQ8Ijfkxn0GMKPQUy2EDTOc8JUccezQFH1Tp4pNaQJJMRo5JYty5lAPzwyuODKoCaxYfNo0yQxWRIA,1349,I,321,197,True,False,False,False,Challenger,PieceOfSheep#SG2,518,61.97,2026-02-12 01:17:46.642683+07:00
2LEAollOdkKuSU0N9oPnYnUMg1is4n6VV_oxE09g8A0SNgJ12Ky6Kcprgy5FPMwjnt_CmOa1OH-EwQ,1338,I,280,217,False,False,True,False,Challenger,mango graham#HVC,497,56.34,2026-02-12 01:17:46.642683+07:00
XrQvTVdnprJF2JTrsMDUMxiRWoXqh2v1IrwQZoUDcw0MYkVS7rwKEVF_-caKBT0yV31_rc1MEF-N8w,1332,I,372,261,True,False,False,True,Challenger,WINNYS#WNYS,633,58.77,2026-02-12 01:17:46.642683+07:00
wqNUFaBMtQmVWLZxDl--06QwUXRQM94VBSqHqSS363h--CoZOVHwSKVGX1GQbhEvLBIqyRpeEwWuZQ,1330,I,184,120,False,False,False,True,Challenger,Carousel Griefer#weave,304,60.53,2026-02-12 01:17:46.642683+07:00
HwDcYLydIRkb3OGwzIBBeWTcltTVkIWRVxbIrquIqAma8DXxWxZBzDOcegjEngN-DMyd3ZnLNMTI1Q,1322,I,258,175,False,False,False,False,Challenger,tokyosniper#dump2,433,59.58,2026-02-12 01:17:46.642683+07:00
_BkRJq3tdLec-ryXmv8HYkIQcruPrpwHMMJqmZ7FM50A8l3w_YpZ2YhTnO04LUf3unJwiBa-Aijr2w,1300,I,447,323,False,False,False,True,Challenger,Maha#YAWA,770,58.05,2026-02-12 01:17:46.642683+07:00
