puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate,updated_at
vQYjv6cYFyPfCPDjVrhdjs50sS5WzxHwsT-y1amfhS4jZdDKCjmbNCDCZcjEsa-b6NZ6mOZJrCH97Q,1802,I,395,218,True,False,False,True,Challenger,C24#4701,613,64.44,2026-02-15 23:02:51.018422+07:00
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1794,I,324,137,True,False,False,False,Challenger,ARaye#Rawyr,461,70.28,2026-02-15 23:02:51.018422+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1627,I,346,141,True,False,False,False,Challenger,Eggy#6142,487,71.05,2026-02-15 23:02:51.018422+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1547,I,396,217,True,False,False,False,Challenger,Enif#SEA,613,64.6,2026-02-15 23:02:51.018422+07:00
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1539,I,357,201,True,False,False,False,Challenger,Pai#phpai,558,63.98,2026-02-15 23:02:51.018422+07:00
YxXpLxMTUvi7EwPV1R8w9bI4V36QFVixnoL32ysvG4BlhD4noEVp6eWNu3V9A5DwyhzdFpwPFTUSgg,1505,I,277,178,False,False,False,False,Challenger,uni#owo,455,60.88,2026-02-15 23:02:51.018422+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1477,I,525,267,True,False,False,False,Challenger,Nanande#nana,792,66.29,2026-02-15 23:02:51.018422+07:00
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1469,I,488,233,True,False,False,False,Challenger,mald#tft,721,67.68,2026-02-15 23:02:51.018422+07:00
CP54-BWyY7PIEdzJTthPN3TeU3qYTazeIf29Cc84Ii8KAhk2J0q5Y86wrG3cOhquG2neAIljkMSc8A,1464,I,283,185,True,False,False,True,Challenger,jerryK#idk,468,60.47,2026-02-15 23:02:51.018422+07:00
nqTelHUs-BmzKaPto4FW0CrrFmVAjNUzZOEPAyr561xUCV-uhLUaMiew-_GDgHl92n1SZnz3_RenNA,1453,I,307,197,False,False,False,False,Challenger,mashimomo#971,504,60.91,2026-02-15 23:02:51.018422+07:00
pbYdEM53JcEAmndVOrpnsXJbl7GxlBTgoJ-b2N3AsVmZWDWVj1bKiOsRr2s0ylujTmW-kOrsZZhbBQ,1423,I,313,196,False,False,True,False,Challenger,SunRise#Shiny,509,61.49,2026-02-15 23:02:51.018422+07:00
8xtcab4066AaNOKbYo34yywmm-vLFhaDsgPtriU_AZsdOeOn2JdC1zPOcZxHieNuaVk9DEqat4iReQ,1420,I,369,267,False,False,False,True,Challenger,FuuTime#xdd,636,58.02,2026-02-15 23:02:51.018422+07:00
tpaSKYAbEC1GRbhHcuqPqViRezX9P_CKHLaU-qEBh-Hez174mymu0VgoHjio3Dz8b6S76l30To1DlA,1395,I,566,404,False,False,False,True,Challenger,Maxccv#2003,970,58.35,2026-02-15 23:02:51.018422+07:00
