puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate,updated_at
vQYjv6cYFyPfCPDjVrhdjs50sS5WzxHwsT-y1amfhS4jZdDKCjmbNCDCZcjEsa-b6NZ6mOZJrCH97Q,1802,I,395,218,True,False,False,True,Challenger,C24#4701,613,64.44,2026-02-18 01:14:42.293756+07:00
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1794,I,324,137,True,False,False,False,Challenger,ARaye#Rawyr,461,70.28,2026-02-18 01:14:42.293756+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1627,I,346,141,True,False,False,False,Challenger,Eggy#6142,487,71.05,2026-02-18 01:14:42.293756+07:00
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1577,I,359,201,True,False,False,False,Challenger,Pai#phpai,560,64.11,2026-02-18 01:14:42.293756+07:00
nqTelHUs-BmzKaPto4FW0CrrFmVAjNUzZOEPAyr561xUCV-uhLUaMiew-_GDgHl92n1SZnz3_RenNA,1556,I,313,197,False,False,False,True,Challenger,mashimomo#971,510,61.37,2026-02-18 01:14:42.293756+07:00
pbYdEM53JcEAmndVOrpnsXJbl7GxlBTgoJ-b2N3AsVmZWDWVj1bKiOsRr2s0ylujTmW-kOrsZZhbBQ,1548,I,321,197,False,False,False,False,Challenger,SunRise#Shiny,518,61.97,2026-02-18 01:14:42.293756+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1547,I,396,217,True,False,False,False,Challenger,Enif#SEA,613,64.6,2026-02-18 01:14:42.293756+07:00
YxXpLxMTUvi7EwPV1R8w9bI4V36QFVixnoL32ysvG4BlhD4noEVp6eWNu3V9A5DwyhzdFpwPFTUSgg,1505,I,277,178,False,False,False,False,Challenger,uni#owo,455,60.88,2026-02-18 01:14:42.293756+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1477,I,525,267,True,False,False,False,Challenger,Nanande#nana,792,66.29,2026-02-18 01:14:42.293756+07:00
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1469,I,488,233,True,False,False,False,Challenger,mald#tft,721,67.68,2026-02-18 01:14:42.293756+07:00
RQfttUFwRgREnBPdhcxTtN6UBqxnji6iTnz80T3R1ZmiRyV2Caig7fqnsyLDf_-pi_HOsf6LEEIdig,1427,I,417,281,True,False,False,False,Challenger,FS Foeman#bundd,698,59.74,2026-02-18 01:14:42.293756+07:00
8xtcab4066AaNOKbYo34yywmm-vLFhaDsgPtriU_AZsdOeOn2JdC1zPOcZxHieNuaVk9DEqat4iReQ,1419,I,374,273,False,False,False,False,Challenger,FuuTime#xdd,647,57.81,2026-02-18 01:14:42.293756+07:00
CP54-BWyY7PIEdzJTthPN3TeU3qYTazeIf29Cc84Ii8KAhk2J0q5Y86wrG3cOhquG2neAIljkMSc8A,1410,I,283,186,True,False,False,False,Challenger,jerryK#idk,469,60.34,2026-02-18 01:14:42.293756+07:00
tpaSKYAbEC1GRbhHcuqPqViRezX9P_CKHLaU-qEBh-Hez174mymu0VgoHjio3Dz8b6S76l30To1DlA,1395,I,566,404,False,False,False,True,Challenger,Maxccv#2003,970,58.35,2026-02-18 01:14:42.293756+07:00
HwDcYLydIRkb3OGwzIBBeWTcltTVkIWRVxbIrquIqAma8DXxWxZBzDOcegjEngN-DMyd3ZnLNMTI1Q,1362,I,261,176,False,False,False,False,Challenger,tokyosniper#dump2,437,59.73,2026-02-18 01:14:42.293756+07:00
2LEAollOdkKuSU0N9oPnYnUMg1is4n6VV_oxE09g8A0SNgJ12Ky6Kcprgy5FPMwjnt_CmOa1OH-EwQ,1337,I,287,220,False,False,False,False,Challenger,mango graham#HVC,507,56.61,2026-02-18 01:14:42.293756+07:00
ZchXPy3_dormCfSXDErnuRCTYxJko-98C5MpHp79M-rdJYZxsFzzuk_2DRf42YN4AFlFQ5pUeFwvpg,1333,I,266,177,False,False,True,False,Challenger,MagicElephant#SG2,443,60.05,2026-02-18 01:14:42.293756+07:00
XrQvTVdnprJF2JTrsMDUMxiRWoXqh2v1IrwQZoUDcw0MYkVS7rwKEVF_-caKBT0yV31_rc1MEF-N8w,1322,I,380,264,True,False,False,False,Challenger,WINNYS#WNYS,644,59.01,2026-02-18 01:14:42.293756+07:00
Ni368aR-iyD96lIfeYQrzlH7IzhiXtthGpeMpluc5pezePZpEmwUC7i1I2UnZ55Vtv9sPQUrS44P5w,1315,I,516,436,False,False,True,False,Challenger,TTVBubu1150#qquer,952,54.2,2026-02-18 01:14:42.293756+07:00
u3t1CxmEcorlNuv4Wf8KBMwma_NNcNujXUsMMx2esX2Zc4kMOaQTTT6tzy2UBd0RFbEgRxSProqSVw,1301,I,320,224,True,False,False,False,Challenger,Atomic#SG3,544,58.82,2026-02-18 01:14:42.293756+07:00
sIGOZ9DnVqhqkYltynlYFf6Mc-K2BYvhoJ09e0vXfeY76ntfmNq66_S_Tif_bDreckyhXTvj7MXiWQ,1298,I,359,226,True,False,False,False,Challenger,Mulberry#ketsu,585,61.37,2026-02-18 01:14:42.293756+07:00
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1298,I,278,132,True,False,False,False,Challenger,masianiverson#xdd,410,67.8,2026-02-18 01:14:42.293756+07:00
co6S0me5NhGep4IeJfgFqJ2y9nyUy25pVj0BKGtlsNy9o33d9VlDi1amIvoZmjeOEAta1DQSJ9gIJg,1289,I,318,197,True,False,False,False,Challenger,Disbenefit#boop,515,61.75,2026-02-18 01:14:42.293756+07:00
wqNUFaBMtQmVWLZxDl--06QwUXRQM94VBSqHqSS363h--CoZOVHwSKVGX1GQbhEvLBIqyRpeEwWuZQ,1264,I,190,125,False,False,False,False,Challenger,Carousel Griefer#weave,315,60.32,2026-02-18 01:14:42.293756+07:00
g7fQSQ1MwE-MUCATwg_hNPrp7HJ4vHkyPNEHCkxmqoR5E2VGQg525ahfs1eNGH5KAL-Lt3WGoCpMuQ,1255,I,193,121,False,False,True,True,Challenger,Jack#wind,314,61.46,2026-02-18 01:14:42.293756+07:00
Q2kiTnBK9Ob__FHZkOZGhfvp3UOIXVdKz90VsclIamYV151aGoDixYip1oMx37sZAvEezpg3WWsceA,1245,I,555,324,True,False,False,False,Challenger,BBTY#300,879,63.14,2026-02-18 01:14:42.293756+07:00
zJjl5ZjiW17-HU47VmIkm8TkgnZqtLUq_A3PJxvYTqGDUUgGbDcYgou4xhFEhMiRQpZrQoEJW1mopA,1240,I,240,160,False,False,True,True,Challenger,YJlnwZa#007,400,60.0,2026-02-18 01:14:42.293756+07:00
xtmkvmlgjN7YWdCV_V3fNn7pO3ESOPPcAt8dCjwK96y2viN5x4v8RlDSY8EWCLedHDgYy70oC0_2SQ,1239,I,347,255,False,False,False,True,Challenger,shush#2654,602,57.64,2026-02-18 01:14:42.293756+07:00
0igqo3RN7dcbnYucXvIGWe1v20cCy7UbIwwa2WXPgO-xbfeFhml2FNy4AAlT_BsriDA3ClycNFh-aw,1239,I,302,216,False,False,False,False,Challenger,OBE Twift#009,518,58.3,2026-02-18 01:14:42.293756+07:00
5em7MAQIxP7OxpqK-cYF-tDgDCUeMH0ZyAh8XQQ0yzWA7PprXxpgsSPDcIMaGtRII76wA7-QqGl8EA,1236,I,100,24,False,False,True,True,Challenger,house cat#BM1,124,80.65,2026-02-18 01:14:42.293756+07:00
geVqw-WwR3F-1Ke5XLLEdcs3JSAYwarwnkn9CilK3grOXMYNl-Th_rpaksKlz-VBH9r8qn8IXJZ4Jg,1224,I,204,111,False,False,False,False,Challenger,josepao1o#1023,315,64.76,2026-02-18 01:14:42.293756+07:00
gXwaib18bMYy7JQjdO4hJg5QJAedSM7QjFU3-CCfBaCjL_fBk-Dp_uiRYgQLou_LiOUkF1F4KvZc_Q,1219,I,573,491,False,False,True,False,Challenger,Dubu#2227,1064,53.85,2026-02-18 01:14:42.293756+07:00
zPFCC1h0W9DaLG_esDcxUrmAdnL1GDrLyxyTxYKJvPiUv6wpQVxLi1SfR-jorgLRyQaF6YGoO_GlNg,1214,I,241,145,False,False,False,False,Challenger,grog#123,386,62.44,2026-02-18 01:14:42.293756+07:00
1objFp_S2YngHf2IFnSMpMkS_kSLdm1VgeZGEjKoNzKQd5pRRtl-rL7OQYekeEmnqPUFlsWId5XM4Q,1213,I,676,551,False,False,False,False,Challenger,Gettey#9904,1227,55.09,2026-02-18 01:14:42.293756+07:00
SIDHJI1ibTAmzqdzOCH8InAwwQXw4ArKGx_dEpAXKZjLJfMsCsoVRQJnW4zsc7DPMTs7A7KaChSt6g,1207,I,505,406,False,False,True,False,Challenger,freezingfiref#SG2,911,55.43,2026-02-18 01:14:42.293756+07:00
fnlKrwOnalwfwCG0pD6_9MbvapzwekE2B11s1ExP8X9M0ADNCJcrjV-lIcoxCnwNi7w__Ub3FNQbyQ,1203,I,280,202,False,False,False,False,Challenger,teeoftea#SG2,482,58.09,2026-02-18 01:14:42.293756+07:00
0VBqhjoQJDOhUsuUL95_Hv8szDcH77kuBsrWsLskTmk_WGuiGfd0f_2zGq5Y2SkUWPP0tKZkCgz7nQ,1198,I,511,374,False,False,False,False,Challenger,ffstars#8787,885,57.74,2026-02-18 01:14:42.293756+07:00
x9bEVwp_j61mosQWwDftSI2hjCBxopLsniSb_l-M-vJyNKRQnmi2u_lZmuKZ7n1INfzIv7DWop0G8Q,1195,I,160,101,False,False,True,True,Challenger,minari baby#SG2,261,61.3,2026-02-18 01:14:42.293756+07:00
