puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate,updated_at
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1905,I,322,134,True,False,False,True,Challenger,ARaye#Rawyr,456,70.61,2026-02-04 01:14:09.228196+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1854,I,374,203,True,False,False,False,Challenger,Enif#SEA,577,64.82,2026-02-04 01:14:09.228196+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1679,I,517,258,True,False,False,True,Challenger,Nanande#nana,775,66.71,2026-02-04 01:14:09.228196+07:00
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1639,I,488,230,True,False,False,True,Challenger,mald#tft,718,67.97,2026-02-04 01:14:09.228196+07:00
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1549,I,324,179,True,False,False,False,Challenger,Pai#phpai,503,64.41,2026-02-04 01:14:09.228196+07:00
aIbr6wA-uIC7TKTyrCoNXQdklatJOy7JZcPlKhye6CsInFb_a3IdKDMdmNxCeQ_xFpJqpHiMl4rKXQ,1505,I,281,141,True,False,False,False,Challenger,Fer#41fer,422,66.59,2026-02-04 01:14:09.228196+07:00
YxXpLxMTUvi7EwPV1R8w9bI4V36QFVixnoL32ysvG4BlhD4noEVp6eWNu3V9A5DwyhzdFpwPFTUSgg,1501,I,275,177,False,False,False,True,Challenger,uni#owo,452,60.84,2026-02-04 01:14:09.228196+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1498,I,334,137,True,False,False,False,Challenger,Eggy#6142,471,70.91,2026-02-04 01:14:09.228196+07:00
vQYjv6cYFyPfCPDjVrhdjs50sS5WzxHwsT-y1amfhS4jZdDKCjmbNCDCZcjEsa-b6NZ6mOZJrCH97Q,1431,I,318,198,False,False,True,False,Challenger,C24#4701,516,61.63,2026-02-04 01:14:09.228196+07:00
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1424,I,258,120,True,False,False,True,Challenger,masianiverson#xdd,378,68.25,2026-02-04 01:14:09.228196+07:00
_M9CtULqij_I3Cjw5Kbzl4dh48ZEgsOQQ0pd-W32HcT7r0I0iHKHmObg9COsMGfWy_c1Lb_fvLi8zA,1419,I,223,131,True,False,False,False,Challenger,FS Boomhae#0901,354,62.99,2026-02-04 01:14:09.228196+07:00
Mhawv3yZdFR4G8huny8zSaRmzvErIWGE4-i5-49D8S40FauOWdsiby64aywU4O_TZdCyzGKu2y_rfQ,1401,I,268,199,False,False,False,True,Challenger,a21#SEA,467,57.39,2026-02-04 01:14:09.228196+07:00
WQ8Ijfkxn0GMKPQUy2EDTOc8JUccezQFH1Tp4pNaQJJMRo5JYty5lAPzwyuODKoCaxYfNo0yQxWRIA,1400,I,321,196,True,False,False,True,Challenger,PieceOfSheep#SG2,517,62.09,2026-02-04 01:14:09.228196+07:00
