puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate,updated_at
vQYjv6cYFyPfCPDjVrhdjs50sS5WzxHwsT-y1amfhS4jZdDKCjmbNCDCZcjEsa-b6NZ6mOZJrCH97Q,1802,I,395,218,True,False,False,True,Challenger,C24#4701,613,64.44,2026-02-20 01:12:37.350219+07:00
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1794,I,324,137,True,False,False,False,Challenger,ARaye#Rawyr,461,70.28,2026-02-20 01:12:37.350219+07:00
nqTelHUs-BmzKaPto4FW0CrrFmVAjNUzZOEPAyr561xUCV-uhLUaMiew-_GDgHl92n1SZnz3_RenNA,1637,I,319,198,False,False,False,True,Challenger,mashimomo#971,517,61.7,2026-02-20 01:12:37.350219+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1627,I,346,141,True,False,False,False,Challenger,Eggy#6142,487,71.05,2026-02-20 01:12:37.350219+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1599,I,399,217,True,False,False,True,Challenger,Enif#SEA,616,64.77,2026-02-20 01:12:37.350219+07:00
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1577,I,359,201,True,False,False,False,Challenger,Pai#phpai,560,64.11,2026-02-20 01:12:37.350219+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1488,I,530,268,True,False,False,False,Challenger,Nanande#nana,798,66.42,2026-02-20 01:12:37.350219+07:00
pbYdEM53JcEAmndVOrpnsXJbl7GxlBTgoJ-b2N3AsVmZWDWVj1bKiOsRr2s0ylujTmW-kOrsZZhbBQ,1471,I,324,199,False,False,False,False,Challenger,SunRise#Shiny,523,61.95,2026-02-20 01:12:37.350219+07:00
Ni368aR-iyD96lIfeYQrzlH7IzhiXtthGpeMpluc5pezePZpEmwUC7i1I2UnZ55Vtv9sPQUrS44P5w,1443,I,527,438,False,False,True,False,Challenger,TTVBubu1150#qquer,965,54.61,2026-02-20 01:12:37.350219+07:00
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1411,I,488,234,True,False,False,False,Challenger,mald#tft,722,67.59,2026-02-20 01:12:37.350219+07:00
CP54-BWyY7PIEdzJTthPN3TeU3qYTazeIf29Cc84Ii8KAhk2J0q5Y86wrG3cOhquG2neAIljkMSc8A,1410,I,283,186,True,False,False,False,Challenger,jerryK#idk,469,60.34,2026-02-20 01:12:37.350219+07:00
HwDcYLydIRkb3OGwzIBBeWTcltTVkIWRVxbIrquIqAma8DXxWxZBzDOcegjEngN-DMyd3ZnLNMTI1Q,1399,I,262,176,False,False,False,False,Challenger,tokyosniper#dump2,438,59.82,2026-02-20 01:12:37.350219+07:00
tpaSKYAbEC1GRbhHcuqPqViRezX9P_CKHLaU-qEBh-Hez174mymu0VgoHjio3Dz8b6S76l30To1DlA,1395,I,566,404,False,False,False,True,Challenger,Maxccv#2003,970,58.35,2026-02-20 01:12:37.350219+07:00
XrQvTVdnprJF2JTrsMDUMxiRWoXqh2v1IrwQZoUDcw0MYkVS7rwKEVF_-caKBT0yV31_rc1MEF-N8w,1389,I,382,264,True,False,False,False,Challenger,WINNYS#WNYS,646,59.13,2026-02-20 01:12:37.350219+07:00
8xtcab4066AaNOKbYo34yywmm-vLFhaDsgPtriU_AZsdOeOn2JdC1zPOcZxHieNuaVk9DEqat4iReQ,1388,I,376,275,False,False,False,False,Challenger,FuuTime#xdd,651,57.76,2026-02-20 01:12:37.350219+07:00
5em7MAQIxP7OxpqK-cYF-tDgDCUeMH0ZyAh8XQQ0yzWA7PprXxpgsSPDcIMaGtRII76wA7-QqGl8EA,1314,I,103,24,False,False,False,True,Challenger,house cat#BM1,127,81.1,2026-02-20 01:12:37.350219+07:00
u3t1CxmEcorlNuv4Wf8KBMwma_NNcNujXUsMMx2esX2Zc4kMOaQTTT6tzy2UBd0RFbEgRxSProqSVw,1301,I,320,224,True,False,False,False,Challenger,Atomic#SG3,544,58.82,2026-02-20 01:12:37.350219+07:00
sIGOZ9DnVqhqkYltynlYFf6Mc-K2BYvhoJ09e0vXfeY76ntfmNq66_S_Tif_bDreckyhXTvj7MXiWQ,1298,I,359,226,True,False,False,False,Challenger,Mulberry#ketsu,585,61.37,2026-02-20 01:12:37.350219+07:00
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1298,I,278,132,True,False,False,False,Challenger,masianiverson#xdd,410,67.8,2026-02-20 01:12:37.350219+07:00
ZCAjLRiUB-pd3pusrD5tD8Teb-dQTuFXeTteIJdR3td7eitJvfzKrrQqc5x_mN6H0wEoS7k43WM-QQ,1277,I,134,60,False,False,True,True,Challenger,Houston3001#9594,194,69.07,2026-02-20 01:12:37.350219+07:00
2LEAollOdkKuSU0N9oPnYnUMg1is4n6VV_oxE09g8A0SNgJ12Ky6Kcprgy5FPMwjnt_CmOa1OH-EwQ,1268,I,287,222,False,False,False,False,Challenger,mango graham#HVC,509,56.39,2026-02-20 01:12:37.350219+07:00
wqNUFaBMtQmVWLZxDl--06QwUXRQM94VBSqHqSS363h--CoZOVHwSKVGX1GQbhEvLBIqyRpeEwWuZQ,1264,I,190,125,False,False,False,False,Challenger,Carousel Griefer#weave,315,60.32,2026-02-20 01:12:37.350219+07:00
g7fQSQ1MwE-MUCATwg_hNPrp7HJ4vHkyPNEHCkxmqoR5E2VGQg525ahfs1eNGH5KAL-Lt3WGoCpMuQ,1255,I,193,121,False,False,True,True,Challenger,Jack#wind,314,61.46,2026-02-20 01:12:37.350219+07:00
xtmkvmlgjN7YWdCV_V3fNn7pO3ESOPPcAt8dCjwK96y2viN5x4v8RlDSY8EWCLedHDgYy70oC0_2SQ,1239,I,347,255,False,False,False,True,Challenger,shush#2654,602,57.64,2026-02-20 01:12:37.350219+07:00
