puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate,updated_at
aIbr6wA-uIC7TKTyrCoNXQdklatJOy7JZcPlKhye6CsInFb_a3IdKDMdmNxCeQ_xFpJqpHiMl4rKXQ,1957,I,267,128,True,False,False,False,Challenger,Fer#41fer,395,67.59,2026-01-28 03:31:39.700034+07:00
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1849,I,315,133,True,False,False,True,Challenger,ARaye#Rawyr,448,70.31,2026-01-28 03:31:39.700034+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1826,I,368,201,True,False,False,False,Challenger,Enif#SEA,569,64.67,2026-01-28 03:31:39.700034+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1823,I,298,116,True,False,False,False,Challenger,Eggy#6142,414,71.98,2026-01-28 03:31:39.700034+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1657,I,479,240,True,False,False,False,Challenger,Nanande#nana,719,66.62,2026-01-28 03:31:39.700034+07:00
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1597,I,234,107,True,False,False,False,Challenger,masianiverson#xdd,341,68.62,2026-01-28 03:31:39.700034+07:00
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1537,I,426,209,True,False,False,False,Challenger,mald#tft,635,67.09,2026-01-28 03:31:39.700034+07:00
Q2kiTnBK9Ob__FHZkOZGhfvp3UOIXVdKz90VsclIamYV151aGoDixYip1oMx37sZAvEezpg3WWsceA,1512,I,505,290,True,False,False,True,Challenger,BBTY#300,795,63.52,2026-01-28 03:31:39.700034+07:00
MQDFJazMxolRxLPj2G21TB_A5Ji5Sa421HaZ0rWlS4SZWMuvgTwTUPB23mpcMY1_CK_BmtFkcfL76w,1431,I,309,202,False,False,True,False,Challenger,Stryggar#004,511,60.47,2026-01-28 03:31:39.700034+07:00
_M9CtULqij_I3Cjw5Kbzl4dh48ZEgsOQQ0pd-W32HcT7r0I0iHKHmObg9COsMGfWy_c1Lb_fvLi8zA,1419,I,223,131,True,False,False,False,Challenger,FS Boomhae#0901,354,62.99,2026-01-28 03:31:39.700034+07:00
CP54-BWyY7PIEdzJTthPN3TeU3qYTazeIf29Cc84Ii8KAhk2J0q5Y86wrG3cOhquG2neAIljkMSc8A,1408,I,257,172,False,False,False,True,Challenger,jerryK#idk,429,59.91,2026-01-28 03:31:39.700034+07:00
pbYdEM53JcEAmndVOrpnsXJbl7GxlBTgoJ-b2N3AsVmZWDWVj1bKiOsRr2s0ylujTmW-kOrsZZhbBQ,1396,I,221,140,False,False,True,True,Challenger,SunRise#Shiny,361,61.22,2026-01-28 03:31:39.700034+07:00
WQ8Ijfkxn0GMKPQUy2EDTOc8JUccezQFH1Tp4pNaQJJMRo5JYty5lAPzwyuODKoCaxYfNo0yQxWRIA,1371,I,320,196,True,False,False,False,Challenger,PieceOfSheep#SG2,516,62.02,2026-01-28 03:31:39.700034+07:00
Mhawv3yZdFR4G8huny8zSaRmzvErIWGE4-i5-49D8S40FauOWdsiby64aywU4O_TZdCyzGKu2y_rfQ,1364,I,267,199,False,False,False,False,Challenger,a21#SEA,466,57.3,2026-01-28 03:31:39.700034+07:00
zlAWnFkrFYWVTLW5OxWxUI1nJLw0qO1tuICtuDIccVSTO43s1F3LhraZk1-Inmc9zMGGZ05AW9TGfQ,1346,I,375,294,False,False,False,False,Challenger,TaNTaNCE#3443,669,56.05,2026-01-28 03:31:39.700034+07:00
WQEBRvBDn0Baos2UGk9vzo30O0AdeE_FcaVL1t2tlGxMq8yZFi9zQZ8K572SKY6vUSGjG5WHXPQVjg,1340,I,327,236,False,False,False,True,Challenger,Aofnakup#1991,563,58.08,2026-01-28 03:31:39.700034+07:00
co6S0me5NhGep4IeJfgFqJ2y9nyUy25pVj0BKGtlsNy9o33d9VlDi1amIvoZmjeOEAta1DQSJ9gIJg,1334,I,289,180,True,False,False,False,Challenger,Disbenefit#boop,469,61.62,2026-01-28 03:31:39.700034+07:00
I7tSP-bG8Jar2NU9-QS_csC-4SeO297MmFO4_otO_TAm8DYgRvtpiZjB3-xfDspjKZv1r7oyLEYlJw,1306,I,163,79,False,False,False,False,Challenger,outboxer009#333,242,67.36,2026-01-28 03:31:39.700034+07:00
RQfttUFwRgREnBPdhcxTtN6UBqxnji6iTnz80T3R1ZmiRyV2Caig7fqnsyLDf_-pi_HOsf6LEEIdig,1302,I,287,204,False,False,True,False,Challenger,FS Foeman#bundd,491,58.45,2026-01-28 03:31:39.700034+07:00
XrQvTVdnprJF2JTrsMDUMxiRWoXqh2v1IrwQZoUDcw0MYkVS7rwKEVF_-caKBT0yV31_rc1MEF-N8w,1298,I,349,249,False,False,False,False,Challenger,WINNYS#WNYS,598,58.36,2026-01-28 03:31:39.700034+07:00
8xtcab4066AaNOKbYo34yywmm-vLFhaDsgPtriU_AZsdOeOn2JdC1zPOcZxHieNuaVk9DEqat4iReQ,1293,I,325,234,False,False,False,False,Challenger,FuuTime#xdd,559,58.14,2026-01-28 03:31:39.700034+07:00
u3t1CxmEcorlNuv4Wf8KBMwma_NNcNujXUsMMx2esX2Zc4kMOaQTTT6tzy2UBd0RFbEgRxSProqSVw,1286,I,305,216,True,False,False,False,Challenger,Atomic#SG3,521,58.54,2026-01-28 03:31:39.700034+07:00
wqNUFaBMtQmVWLZxDl--06QwUXRQM94VBSqHqSS363h--CoZOVHwSKVGX1GQbhEvLBIqyRpeEwWuZQ,1281,I,181,119,False,False,True,True,Challenger,Carousel Griefer#weave,300,60.33,2026-01-28 03:31:39.700034+07:00
9izfCPMejo-0TI8IOI6qDcKRz2t75YPru1H7MABWGB4622Rk6vFi4REY31JCLqrpH156ZHTIjOtwcg,1279,I,359,272,True,False,False,True,Challenger,paragon#Wish,631,56.89,2026-01-28 03:31:39.700034+07:00
szibDJPPma654Cl20bTksQ7CtLJrcBQRJJvLh0QiVbBYGvRbdr7Hzk4gb3PyqSu7IyikCvQThYk6yw,1267,I,322,233,False,False,True,False,Challenger,Jizun#6848,555,58.02,2026-01-28 03:31:39.700034+07:00
vQYjv6cYFyPfCPDjVrhdjs50sS5WzxHwsT-y1amfhS4jZdDKCjmbNCDCZcjEsa-b6NZ6mOZJrCH97Q,1266,I,269,176,False,False,True,True,Challenger,C24#4701,445,60.45,2026-01-28 03:31:39.700034+07:00
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1260,I,309,176,True,False,False,False,Challenger,Pai#phpai,485,63.71,2026-01-28 03:31:39.700034+07:00
