puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate,updated_at
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1905,I,322,134,True,False,False,True,Challenger,ARaye#Rawyr,456,70.61,2026-02-05 01:09:06.139610+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1584,I,519,260,True,False,False,False,Challenger,Nanande#nana,779,66.62,2026-02-05 01:09:06.139610+07:00
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1558,I,488,231,True,False,False,False,Challenger,mald#tft,719,67.87,2026-02-05 01:09:06.139610+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1519,I,337,138,True,False,False,False,Challenger,Eggy#6142,475,70.95,2026-02-05 01:09:06.139610+07:00
aIbr6wA-uIC7TKTyrCoNXQdklatJOy7JZcPlKhye6CsInFb_a3IdKDMdmNxCeQ_xFpJqpHiMl4rKXQ,1505,I,281,141,True,False,False,False,Challenger,Fer#41fer,422,66.59,2026-02-05 01:09:06.139610+07:00
YxXpLxMTUvi7EwPV1R8w9bI4V36QFVixnoL32ysvG4BlhD4noEVp6eWNu3V9A5DwyhzdFpwPFTUSgg,1501,I,275,177,False,False,False,True,Challenger,uni#owo,452,60.84,2026-02-05 01:09:06.139610+07:00
vQYjv6cYFyPfCPDjVrhdjs50sS5WzxHwsT-y1amfhS4jZdDKCjmbNCDCZcjEsa-b6NZ6mOZJrCH97Q,1494,I,324,201,False,False,True,False,Challenger,C24#4701,525,61.71,2026-02-05 01:09:06.139610+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1491,I,385,213,True,False,False,True,Challenger,Enif#SEA,598,64.38,2026-02-05 01:09:06.139610+07:00
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1471,I,265,122,True,False,False,False,Challenger,masianiverson#xdd,387,68.48,2026-02-05 01:09:06.139610+07:00
Q2kiTnBK9Ob__FHZkOZGhfvp3UOIXVdKz90VsclIamYV151aGoDixYip1oMx37sZAvEezpg3WWsceA,1467,I,528,305,True,False,False,True,Challenger,BBTY#300,833,63.39,2026-02-05 01:09:06.139610+07:00
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1419,I,328,183,True,False,False,False,Challenger,Pai#phpai,511,64.19,2026-02-05 01:09:06.139610+07:00
_M9CtULqij_I3Cjw5Kbzl4dh48ZEgsOQQ0pd-W32HcT7r0I0iHKHmObg9COsMGfWy_c1Lb_fvLi8zA,1419,I,223,131,True,False,False,False,Challenger,FS Boomhae#0901,354,62.99,2026-02-05 01:09:06.139610+07:00
