puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate,updated_at
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1905,I,322,134,True,False,False,True,Challenger,ARaye#Rawyr,456,70.61,2026-02-03 00:31:48.290648+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1854,I,374,203,True,False,False,False,Challenger,Enif#SEA,577,64.82,2026-02-03 00:31:48.290648+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1679,I,517,258,True,False,False,True,Challenger,Nanande#nana,775,66.71,2026-02-03 00:31:48.290648+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1581,I,330,135,True,False,False,True,Challenger,Eggy#6142,465,70.97,2026-02-03 00:31:48.290648+07:00
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1569,I,324,178,True,False,False,False,Challenger,Pai#phpai,502,64.54,2026-02-03 00:31:48.290648+07:00
aIbr6wA-uIC7TKTyrCoNXQdklatJOy7JZcPlKhye6CsInFb_a3IdKDMdmNxCeQ_xFpJqpHiMl4rKXQ,1505,I,281,141,True,False,False,False,Challenger,Fer#41fer,422,66.59,2026-02-03 00:31:48.290648+07:00
YxXpLxMTUvi7EwPV1R8w9bI4V36QFVixnoL32ysvG4BlhD4noEVp6eWNu3V9A5DwyhzdFpwPFTUSgg,1501,I,275,177,False,False,True,True,Challenger,uni#owo,452,60.84,2026-02-03 00:31:48.290648+07:00
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1458,I,254,119,True,False,False,True,Challenger,masianiverson#xdd,373,68.1,2026-02-03 00:31:48.290648+07:00
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1450,I,474,228,True,False,False,False,Challenger,mald#tft,702,67.52,2026-02-03 00:31:48.290648+07:00
_M9CtULqij_I3Cjw5Kbzl4dh48ZEgsOQQ0pd-W32HcT7r0I0iHKHmObg9COsMGfWy_c1Lb_fvLi8zA,1419,I,223,131,True,False,False,False,Challenger,FS Boomhae#0901,354,62.99,2026-02-03 00:31:48.290648+07:00
Mhawv3yZdFR4G8huny8zSaRmzvErIWGE4-i5-49D8S40FauOWdsiby64aywU4O_TZdCyzGKu2y_rfQ,1401,I,268,199,False,False,False,True,Challenger,a21#SEA,467,57.39,2026-02-03 00:31:48.290648+07:00
gDFwB7VpJ0KklJRh2W6VtxNTDEv4Y_HQNJAoOa2KwQkTu3b0LaUwhVXQn6elrV6LSV8xsH1IfIONRw,1384,I,148,73,False,False,True,True,Challenger,iheartristan#duck,221,66.97,2026-02-03 00:31:48.290648+07:00
nqTelHUs-BmzKaPto4FW0CrrFmVAjNUzZOEPAyr561xUCV-uhLUaMiew-_GDgHl92n1SZnz3_RenNA,1374,I,282,187,False,False,False,False,Challenger,mashimomo#971,469,60.13,2026-02-03 00:31:48.290648+07:00
co6S0me5NhGep4IeJfgFqJ2y9nyUy25pVj0BKGtlsNy9o33d9VlDi1amIvoZmjeOEAta1DQSJ9gIJg,1373,I,309,189,True,False,False,False,Challenger,Disbenefit#boop,498,62.05,2026-02-03 00:31:48.290648+07:00
WQ8Ijfkxn0GMKPQUy2EDTOc8JUccezQFH1Tp4pNaQJJMRo5JYty5lAPzwyuODKoCaxYfNo0yQxWRIA,1371,I,320,196,True,False,False,False,Challenger,PieceOfSheep#SG2,516,62.02,2026-02-03 00:31:48.290648+07:00
0igqo3RN7dcbnYucXvIGWe1v20cCy7UbIwwa2WXPgO-xbfeFhml2FNy4AAlT_BsriDA3ClycNFh-aw,1355,I,292,209,False,False,False,False,Challenger,OBE Twift#009,501,58.28,2026-02-03 00:31:48.290648+07:00
CP54-BWyY7PIEdzJTthPN3TeU3qYTazeIf29Cc84Ii8KAhk2J0q5Y86wrG3cOhquG2neAIljkMSc8A,1355,I,269,180,True,False,False,False,Challenger,jerryK#idk,449,59.91,2026-02-03 00:31:48.290648+07:00
WQEBRvBDn0Baos2UGk9vzo30O0AdeE_FcaVL1t2tlGxMq8yZFi9zQZ8K572SKY6vUSGjG5WHXPQVjg,1340,I,327,236,False,False,False,True,Challenger,Aofnakup#1991,563,58.08,2026-02-03 00:31:48.290648+07:00
Q2kiTnBK9Ob__FHZkOZGhfvp3UOIXVdKz90VsclIamYV151aGoDixYip1oMx37sZAvEezpg3WWsceA,1336,I,519,302,True,False,False,False,Challenger,BBTY#300,821,63.22,2026-02-03 00:31:48.290648+07:00
vQYjv6cYFyPfCPDjVrhdjs50sS5WzxHwsT-y1amfhS4jZdDKCjmbNCDCZcjEsa-b6NZ6mOZJrCH97Q,1335,I,303,194,False,False,True,True,Challenger,C24#4701,497,60.97,2026-02-03 00:31:48.290648+07:00
MQDFJazMxolRxLPj2G21TB_A5Ji5Sa421HaZ0rWlS4SZWMuvgTwTUPB23mpcMY1_CK_BmtFkcfL76w,1309,I,334,224,False,False,False,False,Challenger,Stryggar#004,558,59.86,2026-02-03 00:31:48.290648+07:00
_BkRJq3tdLec-ryXmv8HYkIQcruPrpwHMMJqmZ7FM50A8l3w_YpZ2YhTnO04LUf3unJwiBa-Aijr2w,1300,I,447,323,False,False,True,True,Challenger,Maha#YAWA,770,58.05,2026-02-03 00:31:48.290648+07:00
O5tmLtzvTPsMkXRpTtE9EPBZXxuFiv0-LRJZN5I-uuYO5B5KRumzc-aAyYHWUYsCpO5Z9ne7RWAIUA,1299,I,181,113,False,False,True,True,Challenger,SheeepStick#3214,294,61.56,2026-02-03 00:31:48.290648+07:00
4H1KNELz5F-xjjUu17QOu-3Yu6-f3-hIFbDoMX6hgYHvQORieMew_ikGjMGn5iPKk3mNHTlmg7ZoZA,1293,I,403,317,False,False,False,False,Challenger,hanni pham#raph,720,55.97,2026-02-03 00:31:48.290648+07:00
xhH1upTjZyVT9ahEMGzKZXw9ikZ479Uy_UNdK2SB5LuGIa_PcZPFkb-XQuvAjGCqH9ZmN253b1G62g,1284,I,179,109,False,False,False,True,Challenger,7yD#DDDD,288,62.15,2026-02-03 00:31:48.290648+07:00
wqNUFaBMtQmVWLZxDl--06QwUXRQM94VBSqHqSS363h--CoZOVHwSKVGX1GQbhEvLBIqyRpeEwWuZQ,1281,I,181,119,False,False,False,True,Challenger,Carousel Griefer#weave,300,60.33,2026-02-03 00:31:48.290648+07:00
XrQvTVdnprJF2JTrsMDUMxiRWoXqh2v1IrwQZoUDcw0MYkVS7rwKEVF_-caKBT0yV31_rc1MEF-N8w,1279,I,360,255,False,False,False,False,Challenger,WINNYS#WNYS,615,58.54,2026-02-03 00:31:48.290648+07:00
I7tSP-bG8Jar2NU9-QS_csC-4SeO297MmFO4_otO_TAm8DYgRvtpiZjB3-xfDspjKZv1r7oyLEYlJw,1269,I,166,82,False,False,False,False,Challenger,outboxer009#333,248,66.94,2026-02-03 00:31:48.290648+07:00
geVqw-WwR3F-1Ke5XLLEdcs3JSAYwarwnkn9CilK3grOXMYNl-Th_rpaksKlz-VBH9r8qn8IXJZ4Jg,1264,I,196,104,False,False,True,False,Challenger,josepao1o#1023,300,65.33,2026-02-03 00:31:48.290648+07:00
7-ef3RSWywaJDvSv4XQsPQz945sUi4sfS4vDKBMWxnwohjD3nfQSD8RI7jepJUctWw0MVxdZOKNgWg,1253,I,202,115,False,False,True,True,Challenger,bllade#99999,317,63.72,2026-02-03 00:31:48.290648+07:00
zlAWnFkrFYWVTLW5OxWxUI1nJLw0qO1tuICtuDIccVSTO43s1F3LhraZk1-Inmc9zMGGZ05AW9TGfQ,1252,I,378,297,False,False,False,False,Challenger,TaNTaNCE#3443,675,56.0,2026-02-03 00:31:48.290648+07:00
RvaxFRLDYDlVmanGuyYIiqkstxpMchJ84TdRvttg-Aa_liQ2sxoWCw1dphH9QMFQb4zVi2GtkrgezA,1252,I,204,130,False,False,True,True,Challenger,Ozzie#LOL,334,61.08,2026-02-03 00:31:48.290648+07:00
u3t1CxmEcorlNuv4Wf8KBMwma_NNcNujXUsMMx2esX2Zc4kMOaQTTT6tzy2UBd0RFbEgRxSProqSVw,1244,I,316,223,True,False,False,False,Challenger,Atomic#SG3,539,58.63,2026-02-03 00:31:48.290648+07:00
