puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate,updated_at
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1804,I,325,137,True,False,False,False,Challenger,ARaye#Rawyr,462,70.35,2026-02-21 23:03:42.666042+07:00
vQYjv6cYFyPfCPDjVrhdjs50sS5WzxHwsT-y1amfhS4jZdDKCjmbNCDCZcjEsa-b6NZ6mOZJrCH97Q,1629,I,408,227,True,False,False,False,Challenger,C24#4701,635,64.25,2026-02-21 23:03:42.666042+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1627,I,346,141,True,False,False,False,Challenger,Eggy#6142,487,71.05,2026-02-21 23:03:42.666042+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1599,I,399,217,True,False,False,True,Challenger,Enif#SEA,616,64.77,2026-02-21 23:03:42.666042+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1488,I,530,268,True,False,False,False,Challenger,Nanande#nana,798,66.42,2026-02-21 23:03:42.666042+07:00
CP54-BWyY7PIEdzJTthPN3TeU3qYTazeIf29Cc84Ii8KAhk2J0q5Y86wrG3cOhquG2neAIljkMSc8A,1478,I,289,187,True,False,False,True,Challenger,jerryK#idk,476,60.71,2026-02-21 23:03:42.666042+07:00
8xtcab4066AaNOKbYo34yywmm-vLFhaDsgPtriU_AZsdOeOn2JdC1zPOcZxHieNuaVk9DEqat4iReQ,1472,I,380,276,False,False,False,True,Challenger,FuuTime#xdd,656,57.93,2026-02-21 23:03:42.666042+07:00
pbYdEM53JcEAmndVOrpnsXJbl7GxlBTgoJ-b2N3AsVmZWDWVj1bKiOsRr2s0ylujTmW-kOrsZZhbBQ,1471,I,324,199,False,False,False,False,Challenger,SunRise#Shiny,523,61.95,2026-02-21 23:03:42.666042+07:00
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1468,I,366,207,True,False,False,False,Challenger,Pai#phpai,573,63.87,2026-02-21 23:03:42.666042+07:00
XrQvTVdnprJF2JTrsMDUMxiRWoXqh2v1IrwQZoUDcw0MYkVS7rwKEVF_-caKBT0yV31_rc1MEF-N8w,1454,I,384,264,True,False,False,True,Challenger,WINNYS#WNYS,648,59.26,2026-02-21 23:03:42.666042+07:00
Ni368aR-iyD96lIfeYQrzlH7IzhiXtthGpeMpluc5pezePZpEmwUC7i1I2UnZ55Vtv9sPQUrS44P5w,1436,I,541,447,False,False,True,False,Challenger,TTVBubu1150#qquer,988,54.76,2026-02-21 23:03:42.666042+07:00
tpaSKYAbEC1GRbhHcuqPqViRezX9P_CKHLaU-qEBh-Hez174mymu0VgoHjio3Dz8b6S76l30To1DlA,1421,I,571,405,False,False,False,False,Challenger,Maxccv#2003,976,58.5,2026-02-21 23:03:42.666042+07:00
RQfttUFwRgREnBPdhcxTtN6UBqxnji6iTnz80T3R1ZmiRyV2Caig7fqnsyLDf_-pi_HOsf6LEEIdig,1407,I,458,303,True,False,False,True,Challenger,FS Foeman#bundd,761,60.18,2026-02-21 23:03:42.666042+07:00
HwDcYLydIRkb3OGwzIBBeWTcltTVkIWRVxbIrquIqAma8DXxWxZBzDOcegjEngN-DMyd3ZnLNMTI1Q,1399,I,262,176,False,False,False,False,Challenger,tokyosniper#dump2,438,59.82,2026-02-21 23:03:42.666042+07:00
ZchXPy3_dormCfSXDErnuRCTYxJko-98C5MpHp79M-rdJYZxsFzzuk_2DRf42YN4AFlFQ5pUeFwvpg,1350,I,288,188,False,False,False,False,Challenger,MagicElephant#SG2,476,60.5,2026-02-21 23:03:42.666042+07:00
5em7MAQIxP7OxpqK-cYF-tDgDCUeMH0ZyAh8XQQ0yzWA7PprXxpgsSPDcIMaGtRII76wA7-QqGl8EA,1314,I,103,24,False,False,False,True,Challenger,house cat#BM1,127,81.1,2026-02-21 23:03:42.666042+07:00
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1298,I,278,132,True,False,False,False,Challenger,masianiverson#xdd,410,67.8,2026-02-21 23:03:42.666042+07:00
geVqw-WwR3F-1Ke5XLLEdcs3JSAYwarwnkn9CilK3grOXMYNl-Th_rpaksKlz-VBH9r8qn8IXJZ4Jg,1297,I,207,112,False,False,False,True,Challenger,josepao1o#1023,319,64.89,2026-02-21 23:03:42.666042+07:00
zJjl5ZjiW17-HU47VmIkm8TkgnZqtLUq_A3PJxvYTqGDUUgGbDcYgou4xhFEhMiRQpZrQoEJW1mopA,1289,I,254,172,False,False,False,False,Challenger,YJlnwZa#007,426,59.62,2026-02-21 23:03:42.666042+07:00
nqTelHUs-BmzKaPto4FW0CrrFmVAjNUzZOEPAyr561xUCV-uhLUaMiew-_GDgHl92n1SZnz3_RenNA,1285,I,326,208,False,False,False,False,Challenger,mashimomo#971,534,61.05,2026-02-21 23:03:42.666042+07:00
ZCAjLRiUB-pd3pusrD5tD8Teb-dQTuFXeTteIJdR3td7eitJvfzKrrQqc5x_mN6H0wEoS7k43WM-QQ,1277,I,134,60,False,False,False,True,Challenger,Houston3001#9594,194,69.07,2026-02-21 23:03:42.666042+07:00
2LEAollOdkKuSU0N9oPnYnUMg1is4n6VV_oxE09g8A0SNgJ12Ky6Kcprgy5FPMwjnt_CmOa1OH-EwQ,1268,I,287,222,False,False,False,False,Challenger,mango graham#HVC,509,56.39,2026-02-21 23:03:42.666042+07:00
