puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate,updated_at
aIbr6wA-uIC7TKTyrCoNXQdklatJOy7JZcPlKhye6CsInFb_a3IdKDMdmNxCeQ_xFpJqpHiMl4rKXQ,2010,I,267,127,True,False,False,False,Challenger,Fer#41fer,394,67.77,2026-01-27 16:26:19.151672+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1972,I,476,235,True,False,False,True,Challenger,Nanande#nana,711,66.95,2026-01-27 16:26:19.151672+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1823,I,298,116,True,False,False,False,Challenger,Eggy#6142,414,71.98,2026-01-27 16:26:19.151672+07:00
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1818,I,314,133,True,False,False,True,Challenger,ARaye#Rawyr,447,70.25,2026-01-27 16:26:19.151672+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1762,I,364,200,True,False,False,False,Challenger,Enif#SEA,564,64.54,2026-01-27 16:26:19.151672+07:00
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1684,I,424,206,True,False,False,False,Challenger,mald#tft,630,67.3,2026-01-27 16:26:19.151672+07:00
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1602,I,232,106,True,False,False,False,Challenger,masianiverson#xdd,338,68.64,2026-01-27 16:26:19.151672+07:00
Q2kiTnBK9Ob__FHZkOZGhfvp3UOIXVdKz90VsclIamYV151aGoDixYip1oMx37sZAvEezpg3WWsceA,1434,I,502,290,True,False,False,True,Challenger,BBTY#300,792,63.38,2026-01-27 16:26:19.151672+07:00
MQDFJazMxolRxLPj2G21TB_A5Ji5Sa421HaZ0rWlS4SZWMuvgTwTUPB23mpcMY1_CK_BmtFkcfL76w,1425,I,308,201,False,False,True,True,Challenger,Stryggar#004,509,60.51,2026-01-27 16:26:19.151672+07:00
_M9CtULqij_I3Cjw5Kbzl4dh48ZEgsOQQ0pd-W32HcT7r0I0iHKHmObg9COsMGfWy_c1Lb_fvLi8zA,1419,I,223,131,True,False,False,False,Challenger,FS Boomhae#0901,354,62.99,2026-01-27 16:26:19.151672+07:00
co6S0me5NhGep4IeJfgFqJ2y9nyUy25pVj0BKGtlsNy9o33d9VlDi1amIvoZmjeOEAta1DQSJ9gIJg,1410,I,288,178,True,False,False,False,Challenger,Disbenefit#boop,466,61.8,2026-01-27 16:26:19.151672+07:00
pbYdEM53JcEAmndVOrpnsXJbl7GxlBTgoJ-b2N3AsVmZWDWVj1bKiOsRr2s0ylujTmW-kOrsZZhbBQ,1396,I,221,140,False,False,True,True,Challenger,SunRise#Shiny,361,61.22,2026-01-27 16:26:19.151672+07:00
nqTelHUs-BmzKaPto4FW0CrrFmVAjNUzZOEPAyr561xUCV-uhLUaMiew-_GDgHl92n1SZnz3_RenNA,1364,I,272,181,False,False,True,False,Challenger,mashimomo#971,453,60.04,2026-01-27 16:26:19.151672+07:00
Mhawv3yZdFR4G8huny8zSaRmzvErIWGE4-i5-49D8S40FauOWdsiby64aywU4O_TZdCyzGKu2y_rfQ,1364,I,267,199,False,False,False,False,Challenger,a21#SEA,466,57.3,2026-01-27 16:26:19.151672+07:00
zlAWnFkrFYWVTLW5OxWxUI1nJLw0qO1tuICtuDIccVSTO43s1F3LhraZk1-Inmc9zMGGZ05AW9TGfQ,1346,I,375,294,False,False,False,False,Challenger,TaNTaNCE#3443,669,56.05,2026-01-27 16:26:19.151672+07:00
XrQvTVdnprJF2JTrsMDUMxiRWoXqh2v1IrwQZoUDcw0MYkVS7rwKEVF_-caKBT0yV31_rc1MEF-N8w,1345,I,348,247,False,False,False,False,Challenger,WINNYS#WNYS,595,58.49,2026-01-27 16:26:19.151672+07:00
WQEBRvBDn0Baos2UGk9vzo30O0AdeE_FcaVL1t2tlGxMq8yZFi9zQZ8K572SKY6vUSGjG5WHXPQVjg,1340,I,327,236,False,False,False,True,Challenger,Aofnakup#1991,563,58.08,2026-01-27 16:26:19.151672+07:00
WQ8Ijfkxn0GMKPQUy2EDTOc8JUccezQFH1Tp4pNaQJJMRo5JYty5lAPzwyuODKoCaxYfNo0yQxWRIA,1326,I,318,196,True,False,False,False,Challenger,PieceOfSheep#SG2,514,61.87,2026-01-27 16:26:19.151672+07:00
sIGOZ9DnVqhqkYltynlYFf6Mc-K2BYvhoJ09e0vXfeY76ntfmNq66_S_Tif_bDreckyhXTvj7MXiWQ,1313,I,338,212,True,False,False,False,Challenger,Mulberry#ketsu,550,61.45,2026-01-27 16:26:19.151672+07:00
u3t1CxmEcorlNuv4Wf8KBMwma_NNcNujXUsMMx2esX2Zc4kMOaQTTT6tzy2UBd0RFbEgRxSProqSVw,1311,I,302,214,True,False,False,False,Challenger,Atomic#SG3,516,58.53,2026-01-27 16:26:19.151672+07:00
j5USmCMGJffIzaGlfGcZ0m2hhl_BpfD5DWjsqr7XpZyGV15ce3X1CjQRVPNxP9HbSt8fPEOB9bCT3A,1307,I,251,180,False,False,True,True,Challenger,caipng#8620,431,58.24,2026-01-27 16:26:19.151672+07:00
I7tSP-bG8Jar2NU9-QS_csC-4SeO297MmFO4_otO_TAm8DYgRvtpiZjB3-xfDspjKZv1r7oyLEYlJw,1306,I,163,79,False,False,False,False,Challenger,outboxer009#333,242,67.36,2026-01-27 16:26:19.151672+07:00
wqNUFaBMtQmVWLZxDl--06QwUXRQM94VBSqHqSS363h--CoZOVHwSKVGX1GQbhEvLBIqyRpeEwWuZQ,1281,I,181,119,False,False,True,True,Challenger,Carousel Griefer#weave,300,60.33,2026-01-27 16:26:19.151672+07:00
9izfCPMejo-0TI8IOI6qDcKRz2t75YPru1H7MABWGB4622Rk6vFi4REY31JCLqrpH156ZHTIjOtwcg,1279,I,359,272,True,False,False,True,Challenger,paragon#Wish,631,56.89,2026-01-27 16:26:19.151672+07:00
CP54-BWyY7PIEdzJTthPN3TeU3qYTazeIf29Cc84Ii8KAhk2J0q5Y86wrG3cOhquG2neAIljkMSc8A,1277,I,252,172,False,False,False,False,Challenger,jerryK#idk,424,59.43,2026-01-27 16:26:19.151672+07:00
vQYjv6cYFyPfCPDjVrhdjs50sS5WzxHwsT-y1amfhS4jZdDKCjmbNCDCZcjEsa-b6NZ6mOZJrCH97Q,1266,I,269,176,False,False,True,True,Challenger,C24#4701,445,60.45,2026-01-27 16:26:19.151672+07:00
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1260,I,309,176,True,False,False,False,Challenger,Pai#phpai,485,63.71,2026-01-27 16:26:19.151672+07:00
SAempvmqOFivF3G5RapsA3hF60xv1MpR_h_SlShDoDWSbMrJgF4YmuhqFMuAjKNgJ-7WrK0ZLSDr2A,1256,I,322,218,False,False,True,False,Challenger,potatodoggy#SG3,540,59.63,2026-01-27 16:26:19.151672+07:00
zPFCC1h0W9DaLG_esDcxUrmAdnL1GDrLyxyTxYKJvPiUv6wpQVxLi1SfR-jorgLRyQaF6YGoO_GlNg,1251,I,227,135,False,False,False,True,Challenger,grog#123,362,62.71,2026-01-27 16:26:19.151672+07:00
8xtcab4066AaNOKbYo34yywmm-vLFhaDsgPtriU_AZsdOeOn2JdC1zPOcZxHieNuaVk9DEqat4iReQ,1238,I,321,232,False,False,False,False,Challenger,FuuTime#xdd,553,58.05,2026-01-27 16:26:19.151672+07:00
gDFwB7VpJ0KklJRh2W6VtxNTDEv4Y_HQNJAoOa2KwQkTu3b0LaUwhVXQn6elrV6LSV8xsH1IfIONRw,1235,I,132,62,False,False,True,False,Challenger,iheartristan#duck,194,68.04,2026-01-27 16:26:19.151672+07:00
_BkRJq3tdLec-ryXmv8HYkIQcruPrpwHMMJqmZ7FM50A8l3w_YpZ2YhTnO04LUf3unJwiBa-Aijr2w,1234,I,411,304,False,False,False,False,Challenger,Maha#YAWA,715,57.48,2026-01-27 16:26:19.151672+07:00
OX9t0WAW97FLFOcr1l-4L2AlRtPZ7eerU29E7hosR8iiyRxhzVXJrmRuIbUqIRywXu1MnnxAVfmZaw,1227,I,292,199,True,False,False,False,Challenger,Kaiser55#9050,491,59.47,2026-01-27 16:26:19.151672+07:00
ofY_0GTEjP_FHH1VANbLgMtKmKDIl5NmBnnT8F0IwHf0gk8FaJyMueEjqeuw4TOGmuwGmWQ-BVrY0Q,1223,I,284,222,False,False,False,False,Challenger,jail#SG2,506,56.13,2026-01-27 16:26:19.151672+07:00
0igqo3RN7dcbnYucXvIGWe1v20cCy7UbIwwa2WXPgO-xbfeFhml2FNy4AAlT_BsriDA3ClycNFh-aw,1217,I,285,207,False,False,True,True,Challenger,OBE Twift#009,492,57.93,2026-01-27 16:26:19.151672+07:00
szibDJPPma654Cl20bTksQ7CtLJrcBQRJJvLh0QiVbBYGvRbdr7Hzk4gb3PyqSu7IyikCvQThYk6yw,1216,I,320,233,False,False,True,False,Challenger,Jizun#6848,553,57.87,2026-01-27 16:26:19.151672+07:00
RQfttUFwRgREnBPdhcxTtN6UBqxnji6iTnz80T3R1ZmiRyV2Caig7fqnsyLDf_-pi_HOsf6LEEIdig,1213,I,279,202,False,False,True,True,Challenger,FS Foeman#bundd,481,58.0,2026-01-27 16:26:19.151672+07:00
P7Bg4HqvX4u_8RmLlOzZ-HzskvtKnwvrXX8f9H0vSTw4--GvP4tdsKScaQpcyGv9ZkfgJTAGENnhYQ,1203,I,350,295,False,False,False,False,Challenger,Reverie#byou,645,54.26,2026-01-27 16:26:19.151672+07:00
hwBlcjZFwqC8f0fBnBa-be63N04EpYoQwZGL_2MqeoR35KFH2Y8s89ENcDdGxml9iT0ClLE08iWHvw,1200,I,299,193,False,False,True,False,Challenger,Kjaos#four,492,60.77,2026-01-27 16:26:19.151672+07:00
UP1iBlQkS0ZwMsuBpIvLU7tLfSU9VeQF-_PyLeYWc7eihIYLZxfAgpVWVTF2G9zJISH57Uf_wSH4vQ,1198,I,215,169,False,False,True,False,Challenger,Jesuslovesme#Susej,384,55.99,2026-01-27 16:26:19.151672+07:00
7VLQYTZFk6WFVjxNEFKqflEbDQcptyAZu6bl8GXsyMltyZKQRmrairiAjVWAKBbp1ujBoCvjhHnJig,1197,I,335,253,False,False,True,True,Challenger,QuazE#IWNL,588,56.97,2026-01-27 16:26:19.151672+07:00
ZCAjLRiUB-pd3pusrD5tD8Teb-dQTuFXeTteIJdR3td7eitJvfzKrrQqc5x_mN6H0wEoS7k43WM-QQ,1196,I,117,49,False,False,True,True,Challenger,Houston3001#9594,166,70.48,2026-01-27 16:26:19.151672+07:00
HwDcYLydIRkb3OGwzIBBeWTcltTVkIWRVxbIrquIqAma8DXxWxZBzDOcegjEngN-DMyd3ZnLNMTI1Q,1192,I,232,163,False,False,False,False,Challenger,tokyosniper#dump2,395,58.73,2026-01-27 16:26:19.151672+07:00
3FO3asvqUxM6mXyl7uxSZAJmF7_7FTVJRPiPf6Sr1eWjaRXTbWFnvbNF27Tbthf3hE0FCs_1zSW8jw,1188,I,316,249,False,False,True,False,Challenger,Vincent#nil,565,55.93,2026-01-27 16:26:19.151672+07:00
xhH1upTjZyVT9ahEMGzKZXw9ikZ479Uy_UNdK2SB5LuGIa_PcZPFkb-XQuvAjGCqH9ZmN253b1G62g,1187,I,170,105,False,False,False,False,Challenger,7yD#DDDD,275,61.82,2026-01-27 16:26:19.151672+07:00
YO4XbtrAuEq9thkx5uNCfG2hAfQ-HOeBPqbGkHHWskfRTbhOrGAPz7mQnrxnhccABwrzVPZ1VJQwXw,1186,I,241,183,False,False,True,True,Challenger,Swindlol#8744,424,56.84,2026-01-27 16:26:19.151672+07:00
KBnRpeKWNTv9m4tZa5HjQglVPeKK5MjiCjGIqsJZON8tF1GSZa0Gz5krLQ-1HS4-FKeLukcxIQsT-g,1186,I,183,119,False,False,True,False,Challenger,เธอชอบเราไหมนะ#SEA,302,60.6,2026-01-27 16:26:19.151672+07:00
pS00u9CV4tk8k02Ze3k2uaiEKo1KzPTATfcoSEXADJlO8laQcUQMFMcj50RjrVUCtsn0G8D3y6IliQ,1177,I,176,107,False,False,False,True,Challenger,AMQ paradice#428,283,62.19,2026-01-27 16:26:19.151672+07:00
4H1KNELz5F-xjjUu17QOu-3Yu6-f3-hIFbDoMX6hgYHvQORieMew_ikGjMGn5iPKk3mNHTlmg7ZoZA,1132,I,385,306,False,False,True,False,Challenger,hanni pham#raph,691,55.72,2026-01-27 16:26:19.151672+07:00
WYp3y1MDZ74LbcmaGZzUvDfD8N4wacyf3WqFS3fDT244fWoLDV5cqktLsYpJfippkXfrFTnks_4FXA,1021,I,457,426,False,False,True,False,Challenger,Blazderp#SG2,883,51.76,2026-01-27 16:26:19.151672+07:00
7-ef3RSWywaJDvSv4XQsPQz945sUi4sfS4vDKBMWxnwohjD3nfQSD8RI7jepJUctWw0MVxdZOKNgWg,1233,I,200,115,False,False,True,True,Grandmaster,bllade#99999,315,63.49,2026-01-27 16:26:19.151672+07:00
SIwigk7wBNQ2UBiACAzxsa1oxiG3r-FGM8hfjlIdl6-ZzbICDQfjHgdjOoZ9NFhwglq5mgaCQpf8jg,1232,I,357,280,False,False,True,True,Grandmaster,Bwakies#4638,637,56.04,2026-01-27 16:26:19.151672+07:00
S6clehuZlzktAhjup2MHHSDg32LzoOkUoTwAM5s4rIChf7BTPNIYD0rWMWpOyfQ9w3AVJYLtpLc0tw,1227,I,293,226,False,False,True,False,Grandmaster,wabisabi#0929,519,56.45,2026-01-27 16:26:19.151672+07:00
xtmkvmlgjN7YWdCV_V3fNn7pO3ESOPPcAt8dCjwK96y2viN5x4v8RlDSY8EWCLedHDgYy70oC0_2SQ,1201,I,326,236,True,False,False,True,Grandmaster,shush#2654,562,58.01,2026-01-27 16:26:19.151672+07:00
geVqw-WwR3F-1Ke5XLLEdcs3JSAYwarwnkn9CilK3grOXMYNl-Th_rpaksKlz-VBH9r8qn8IXJZ4Jg,1199,I,192,103,False,False,True,True,Grandmaster,josepao1o#1023,295,65.08,2026-01-27 16:26:19.151672+07:00
U51azwQ2TP7qamHpqL46Wy6mbhOnesM0BvoJD-gSB5PM3ctLxllFY0RpUF8QXYaQcewiYdjgROZlFw,1157,I,331,238,True,False,False,True,Grandmaster,peter pan ties#2806,569,58.17,2026-01-27 16:26:19.151672+07:00
TtKyVilHApZ-3ZK8oNvqd3n-YwOmdBvE3xHg4dWUs0HZZW0PCnY1ZoYKAuWP4I_vTgs7hEhkj1wurg,1152,I,292,240,False,False,True,True,Grandmaster,Aya#6292,532,54.89,2026-01-27 16:26:19.151672+07:00
qztgWwktLwKKKmueaqAqdXA0Cg0XuZn2wReRmSmA-qnAMMecKDdocTepFQiTDpsM7RYVBmI6O4Yryg,1151,I,328,185,False,False,False,True,Grandmaster,Big Timmy#Fatty,513,63.94,2026-01-27 16:26:19.151672+07:00
dPxpmdIFBYhhVWjd1s0PYki7ejXY-WXDGwv4G1l766oFKVNhqIRXXGux-tJqCDfF7gsE5GFV3yyfig,1148,I,224,143,False,False,True,True,Grandmaster,Maalox#maa,367,61.04,2026-01-27 16:26:19.151672+07:00
Jf27umubZ3XbJQem7U7kirsfONaMgxwRvqVKAjXZcF8wtJLY-fGHrSJc1aLkL8_QuN9wjaU0EhlQKw,1146,I,447,369,False,False,True,False,Grandmaster,Kurroneko#kuro,816,54.78,2026-01-27 16:26:19.151672+07:00
0VBqhjoQJDOhUsuUL95_Hv8szDcH77kuBsrWsLskTmk_WGuiGfd0f_2zGq5Y2SkUWPP0tKZkCgz7nQ,1138,I,458,343,False,False,True,True,Grandmaster,ffstars#8787,801,57.18,2026-01-27 16:26:19.151672+07:00
O5tmLtzvTPsMkXRpTtE9EPBZXxuFiv0-LRJZN5I-uuYO5B5KRumzc-aAyYHWUYsCpO5Z9ne7RWAIUA,1136,I,164,105,False,False,True,False,Grandmaster,SheeepStick#3214,269,60.97,2026-01-27 16:26:19.151672+07:00
YxXpLxMTUvi7EwPV1R8w9bI4V36QFVixnoL32ysvG4BlhD4noEVp6eWNu3V9A5DwyhzdFpwPFTUSgg,1120,I,257,173,False,False,False,False,Grandmaster,uni#owo,430,59.77,2026-01-27 16:26:19.151672+07:00
