puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate,updated_at
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1854,I,324,135,True,False,False,False,Challenger,ARaye#Rawyr,459,70.59,2026-02-11 01:49:59.510627+07:00
vQYjv6cYFyPfCPDjVrhdjs50sS5WzxHwsT-y1amfhS4jZdDKCjmbNCDCZcjEsa-b6NZ6mOZJrCH97Q,1669,I,373,215,True,False,False,True,Challenger,C24#4701,588,63.44,2026-02-11 01:49:59.510627+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1669,I,346,140,True,False,False,True,Challenger,Eggy#6142,486,71.19,2026-02-11 01:49:59.510627+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1547,I,396,217,True,False,False,False,Challenger,Enif#SEA,613,64.6,2026-02-11 01:49:59.510627+07:00
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1544,I,349,197,True,False,False,False,Challenger,Pai#phpai,546,63.92,2026-02-11 01:49:59.510627+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1526,I,523,264,True,False,False,False,Challenger,Nanande#nana,787,66.45,2026-02-11 01:49:59.510627+07:00
aIbr6wA-uIC7TKTyrCoNXQdklatJOy7JZcPlKhye6CsInFb_a3IdKDMdmNxCeQ_xFpJqpHiMl4rKXQ,1505,I,281,141,True,False,False,False,Challenger,Fer#41fer,422,66.59,2026-02-11 01:49:59.510627+07:00
YxXpLxMTUvi7EwPV1R8w9bI4V36QFVixnoL32ysvG4BlhD4noEVp6eWNu3V9A5DwyhzdFpwPFTUSgg,1505,I,277,178,False,False,False,False,Challenger,uni#owo,455,60.88,2026-02-11 01:49:59.510627+07:00
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1469,I,488,233,True,False,False,False,Challenger,mald#tft,721,67.68,2026-02-11 01:49:59.510627+07:00
nqTelHUs-BmzKaPto4FW0CrrFmVAjNUzZOEPAyr561xUCV-uhLUaMiew-_GDgHl92n1SZnz3_RenNA,1466,I,304,196,False,False,False,True,Challenger,mashimomo#971,500,60.8,2026-02-11 01:49:59.510627+07:00
CP54-BWyY7PIEdzJTthPN3TeU3qYTazeIf29Cc84Ii8KAhk2J0q5Y86wrG3cOhquG2neAIljkMSc8A,1445,I,276,183,True,False,False,False,Challenger,jerryK#idk,459,60.13,2026-02-11 01:49:59.510627+07:00
HwDcYLydIRkb3OGwzIBBeWTcltTVkIWRVxbIrquIqAma8DXxWxZBzDOcegjEngN-DMyd3ZnLNMTI1Q,1407,I,256,172,False,False,False,False,Challenger,tokyosniper#dump2,428,59.81,2026-02-11 01:49:59.510627+07:00
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1367,I,278,131,True,False,False,False,Challenger,masianiverson#xdd,409,67.97,2026-02-11 01:49:59.510627+07:00
axEsIv52kvfqXqgQPrLbO1k0YZUhu1Pk0h_CCdgz6xFKTrxjMUVusNAEc9uAVXGV1yDU7KPiW_zDdA,1363,I,424,299,False,False,True,True,Challenger,undeliche#nuunn,723,58.64,2026-02-11 01:49:59.510627+07:00
