puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,Riot_ID,total_games,win_rate,updated_at
vQYjv6cYFyPfCPDjVrhdjs50sS5WzxHwsT-y1amfhS4jZdDKCjmbNCDCZcjEsa-b6NZ6mOZJrCH97Q,1802,I,395,218,True,False,False,True,Challenger,C24#4701,613,64.44,2026-02-14 23:04:13.648027+07:00
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1794,I,324,137,True,False,False,False,Challenger,ARaye#Rawyr,461,70.28,2026-02-14 23:04:13.648027+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1627,I,346,141,True,False,False,False,Challenger,Eggy#6142,487,71.05,2026-02-14 23:04:13.648027+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1547,I,396,217,True,False,False,False,Challenger,Enif#SEA,613,64.6,2026-02-14 23:04:13.648027+07:00
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1539,I,357,201,True,False,False,False,Challenger,Pai#phpai,558,63.98,2026-02-14 23:04:13.648027+07:00
aIbr6wA-uIC7TKTyrCoNXQdklatJOy7JZcPlKhye6CsInFb_a3IdKDMdmNxCeQ_xFpJqpHiMl4rKXQ,1505,I,281,141,True,False,False,False,Challenger,Fer#41fer,422,66.59,2026-02-14 23:04:13.648027+07:00
YxXpLxMTUvi7EwPV1R8w9bI4V36QFVixnoL32ysvG4BlhD4noEVp6eWNu3V9A5DwyhzdFpwPFTUSgg,1505,I,277,178,False,False,False,False,Challenger,uni#owo,455,60.88,2026-02-14 23:04:13.648027+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1477,I,525,267,True,False,False,False,Challenger,Nanande#nana,792,66.29,2026-02-14 23:04:13.648027+07:00
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1469,I,488,233,True,False,False,False,Challenger,mald#tft,721,67.68,2026-02-14 23:04:13.648027+07:00
nqTelHUs-BmzKaPto4FW0CrrFmVAjNUzZOEPAyr561xUCV-uhLUaMiew-_GDgHl92n1SZnz3_RenNA,1466,I,304,196,False,False,False,True,Challenger,mashimomo#971,500,60.8,2026-02-14 23:04:13.648027+07:00
wqNUFaBMtQmVWLZxDl--06QwUXRQM94VBSqHqSS363h--CoZOVHwSKVGX1GQbhEvLBIqyRpeEwWuZQ,1442,I,190,121,False,False,False,True,Challenger,Carousel Griefer#weave,311,61.09,2026-02-14 23:04:13.648027+07:00
pbYdEM53JcEAmndVOrpnsXJbl7GxlBTgoJ-b2N3AsVmZWDWVj1bKiOsRr2s0ylujTmW-kOrsZZhbBQ,1407,I,309,195,False,False,True,True,Challenger,SunRise#Shiny,504,61.31,2026-02-14 23:04:13.648027+07:00
CP54-BWyY7PIEdzJTthPN3TeU3qYTazeIf29Cc84Ii8KAhk2J0q5Y86wrG3cOhquG2neAIljkMSc8A,1398,I,281,185,True,False,False,True,Challenger,jerryK#idk,466,60.3,2026-02-14 23:04:13.648027+07:00
tpaSKYAbEC1GRbhHcuqPqViRezX9P_CKHLaU-qEBh-Hez174mymu0VgoHjio3Dz8b6S76l30To1DlA,1395,I,566,404,False,False,False,True,Challenger,Maxccv#2003,970,58.35,2026-02-14 23:04:13.648027+07:00
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1367,I,278,131,True,False,False,False,Challenger,masianiverson#xdd,409,67.97,2026-02-14 23:04:13.648027+07:00
HwDcYLydIRkb3OGwzIBBeWTcltTVkIWRVxbIrquIqAma8DXxWxZBzDOcegjEngN-DMyd3ZnLNMTI1Q,1362,I,261,176,False,False,False,False,Challenger,tokyosniper#dump2,437,59.73,2026-02-14 23:04:13.648027+07:00
ZchXPy3_dormCfSXDErnuRCTYxJko-98C5MpHp79M-rdJYZxsFzzuk_2DRf42YN4AFlFQ5pUeFwvpg,1350,I,259,174,False,False,True,False,Challenger,MagicElephant#SG2,433,59.82,2026-02-14 23:04:13.648027+07:00
axEsIv52kvfqXqgQPrLbO1k0YZUhu1Pk0h_CCdgz6xFKTrxjMUVusNAEc9uAVXGV1yDU7KPiW_zDdA,1344,I,461,318,False,False,True,False,Challenger,undeliche#nuunn,779,59.18,2026-02-14 23:04:13.648027+07:00
2LEAollOdkKuSU0N9oPnYnUMg1is4n6VV_oxE09g8A0SNgJ12Ky6Kcprgy5FPMwjnt_CmOa1OH-EwQ,1338,I,280,217,False,False,False,False,Challenger,mango graham#HVC,497,56.34,2026-02-14 23:04:13.648027+07:00
UP1iBlQkS0ZwMsuBpIvLU7tLfSU9VeQF-_PyLeYWc7eihIYLZxfAgpVWVTF2G9zJISH57Uf_wSH4vQ,1332,I,289,212,False,False,False,False,Challenger,Jesuslovesme#Susej,501,57.68,2026-02-14 23:04:13.648027+07:00
XrQvTVdnprJF2JTrsMDUMxiRWoXqh2v1IrwQZoUDcw0MYkVS7rwKEVF_-caKBT0yV31_rc1MEF-N8w,1330,I,379,263,True,False,False,False,Challenger,WINNYS#WNYS,642,59.03,2026-02-14 23:04:13.648027+07:00
zlAWnFkrFYWVTLW5OxWxUI1nJLw0qO1tuICtuDIccVSTO43s1F3LhraZk1-Inmc9zMGGZ05AW9TGfQ,1329,I,396,306,True,False,False,False,Challenger,TaNTaNCE#3443,702,56.41,2026-02-14 23:04:13.648027+07:00
66fZQiiikyv758UcQ8ssrpMtu13vOG_SYAuTu7V4CaDxkKVrcrSL6gs-U-fqZCNUh2Ih04VKEcGX9w,1319,I,266,153,False,False,True,True,Challenger,Skyli#Van,419,63.48,2026-02-14 23:04:13.648027+07:00
u3t1CxmEcorlNuv4Wf8KBMwma_NNcNujXUsMMx2esX2Zc4kMOaQTTT6tzy2UBd0RFbEgRxSProqSVw,1301,I,320,224,True,False,False,False,Challenger,Atomic#SG3,544,58.82,2026-02-14 23:04:13.648027+07:00
sIGOZ9DnVqhqkYltynlYFf6Mc-K2BYvhoJ09e0vXfeY76ntfmNq66_S_Tif_bDreckyhXTvj7MXiWQ,1298,I,359,226,True,False,False,False,Challenger,Mulberry#ketsu,585,61.37,2026-02-14 23:04:13.648027+07:00
